Report Name,Organisation Code,Organisation Name,Month,Patient Type,Value 1,Value 2,Value 3,Value 4
1. MSitAE Comparison,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,Apr-20,All Patients,3655,4388,83,
1. MSitAE Comparison,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,6020,6016,100,
1. MSitAE Comparison,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,Apr-20,All Patients,15490,15489,100,
1. MSitAE Comparison,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,Apr-20,All Patients,10805,10811,100,
1. MSitAE Comparison,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,Apr-20,All Patients,7305,7348,99,
1. MSitAE Comparison,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,2860,4937,58,
1. MSitAE Comparison,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,Apr-20,All Patients,1070,1630,66,
1. MSitAE Comparison,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,Apr-20,All Patients,5245,5403,97,
1. MSitAE Comparison,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,Apr-20,All Patients,3460,3465,100,
1. MSitAE Comparison,RBK,WALSALL HEALTHCARE NHS TRUST,Apr-20,All Patients,3720,4906,76,
1. MSitAE Comparison,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,Apr-20,All Patients,4305,4810,89,
1. MSitAE Comparison,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,Apr-20,All Patients,7170,7169,100,
1. MSitAE Comparison,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,Apr-20,All Patients,2080,2062,101,
1. MSitAE Comparison,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,4470,4343,103,
1. MSitAE Comparison,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,Apr-20,All Patients,2435,2346,104,
1. MSitAE Comparison,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,8025,9407,85,
1. MSitAE Comparison,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,Apr-20,All Patients,5865,7605,77,
1. MSitAE Comparison,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,Apr-20,All Patients,2390,2387,100,
1. MSitAE Comparison,RCF,AIREDALE NHS FOUNDATION TRUST,Apr-20,All Patients,2965,3142,94,
1. MSitAE Comparison,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,Apr-20,All Patients,1840,1839,100,
1. MSitAE Comparison,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",Apr-20,All Patients,3490,3527,99,
1. MSitAE Comparison,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,Apr-20,All Patients,3660,3392,108,
1. MSitAE Comparison,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,Apr-20,All Patients,3570,4889,73,
1. MSitAE Comparison,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,Apr-20,All Patients,8640,9203,94,
1. MSitAE Comparison,RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,Apr-20,All Patients,3720,3720,100,
1. MSitAE Comparison,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,Apr-20,All Patients,10050,10014,100,
1. MSitAE Comparison,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,Apr-20,All Patients,6625,6835,97,
1. MSitAE Comparison,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,11865,12063,98,
1. MSitAE Comparison,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,Apr-20,All Patients,1120,1157,97,
1. MSitAE Comparison,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",Apr-20,All Patients,7770,11281,69,
1. MSitAE Comparison,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,Apr-20,All Patients,4305,4301,100,
