Report Name,Organisation Code,Organisation Name,Month,Patient Type,Value 1,Value 2,Value 3,Value 4
2. Left Department before Treat,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,Apr-20,All Patients,95,11125,1,
2. Left Department before Treat,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,50,6185,1,
2. Left Department before Treat,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,15,4665,0,
2. Left Department before Treat,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,Apr-20,All Patients,30,4965,1,
2. Left Department before Treat,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,80,6550,1,
2. Left Department before Treat,RTV,NORTH WEST BOROUGHS HEALTHCARE NHS FOUNDATION TRUST,Apr-20,All Patients,10,700,1,
2. Left Department before Treat,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,Apr-20,All Patients,125,4295,3,
2. Left Department before Treat,RVJ,NORTH BRISTOL NHS TRUST,Apr-20,All Patients,40,4125,1,
2. Left Department before Treat,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,Apr-20,All Patients,10,6110,0,
2. Left Department before Treat,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,Apr-20,All Patients,120,10225,1,
2. Left Department before Treat,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,Apr-20,All Patients,185,5440,3,
2. Left Department before Treat,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,Apr-20,All Patients,40,3405,1,
2. Left Department before Treat,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,Apr-20,All Patients,*,310,*,
2. Left Department before Treat,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,Apr-20,All Patients,235,14900,2,
2. Left Department before Treat,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,Apr-20,All Patients,175,6465,3,
2. Left Department before Treat,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,Apr-20,All Patients,80,6830,1,
2. Left Department before Treat,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,Apr-20,All Patients,230,9130,2,
2. Left Department before Treat,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,Apr-20,All Patients,*,7485,*,
2. Left Department before Treat,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,Apr-20,All Patients,90,6585,1,
2. Left Department before Treat,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,Apr-20,All Patients,80,6655,1,
2. Left Department before Treat,RWJ,STOCKPORT NHS FOUNDATION TRUST,Apr-20,All Patients,55,4775,1,
2. Left Department before Treat,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,Apr-20,All Patients,65,8430,1,
2. Left Department before Treat,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,60,4755,1,
2. Left Department before Treat,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,Apr-20,All Patients,0,85,-,
2. Left Department before Treat,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,Apr-20,All Patients,70,6880,1,
2. Left Department before Treat,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,Apr-20,All Patients,465,9185,5,
2. Left Department before Treat,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,Apr-20,All Patients,90,6270,1,
2. Left Department before Treat,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,Apr-20,All Patients,120,9985,1,
2. Left Department before Treat,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,Apr-20,All Patients,*,8150,*,
2. Left Department before Treat,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,120,3745,3,
2. Left Department before Treat,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,Apr-20,All Patients,95,6315,2,
2. Left Department before Treat,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,Apr-20,All Patients,90,7245,1,
2. Left Department before Treat,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,Apr-20,All Patients,0,3690,0,
2. Left Department before Treat,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,Apr-20,All Patients,115,7955,1,
2. Left Department before Treat,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,Apr-20,All Patients,50,5530,1,
2. Left Department before Treat,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,Apr-20,All Patients,40,1395,3,
2. Left Department before Treat,RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,Apr-20,All Patients,25,4155,1,
2. Left Department before Treat,RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,Apr-20,All Patients,10,5250,0,
2. Left Department before Treat,RY9,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,Apr-20,All Patients,40,3620,1,
2. Left Department before Treat,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,Apr-20,All Patients,280,7780,4,
2. Left Department before Treat,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,Apr-20,All Patients,130,6790,2,
2. Left Department before Treat,RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,Apr-20,All Patients,*,985,*,
2. Left Department before Treat,RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,Apr-20,All Patients,*,1955,*,
2. Left Department before Treat,AAH01,TETBURY HOSPITAL TRUST,May-20,All Patients,0,130,-,
2. Left Department before Treat,AD903,URGENT CARE CENTRE,May-20,All Patients,40,4440,1,
2. Left Department before Treat,AD904,UCC AT HILLINGDON HOSPITAL,May-20,All Patients,60,4225,1,
2. Left Department before Treat,AD906,UCC - NORTHWICK PARK HOSPITAL,May-20,All Patients,50,4440,1,
2. Left Department before Treat,AD907,ASHFORD HEALTH CENTRE,May-20,All Patients,*,1330,*,
2. Left Department before Treat,AD913,BECKENHAM BEACON UCC,May-20,All Patients,10,2000,0,
2. Left Department before Treat,AD914,UCC - QUEEN ELIZABETH HOSPITAL,May-20,All Patients,50,4820,1,
2. Left Department before Treat,AD916,WOKING WALK IN CENTRE,May-20,All Patients,*,1195,*,
2. Left Department before Treat,AD918,UTC - CENTRAL MIDDLESEX HOSPITAL,May-20,All Patients,10,1350,1,
2. Left Department before Treat,AQN04,PHL LYMINGTON UTC,May-20,All Patients,*,1105,*,
2. Left Department before Treat,AXA,TOWER HAMLETS GP CARE GROUP CIC,May-20,All Patients,20,2530,1,
2. Left Department before Treat,AXT,ONE MEDICAL GROUP LIMITED,May-20,All Patients,40,2935,1,
2. Left Department before Treat,NLO08,SCARBOROUGH URGENT CARE CENTRE,May-20,All Patients,*,2595,*,
2. Left Department before Treat,NLO14,WEST MIDLANDS DOCTORS URGENT CARE,May-20,All Patients,0,3230,0,
2. Left Department before Treat,NLO15,YORKSHIRE DOCTORS URGENT CARE - VALE OF YORK,May-20,All Patients,*,2900,*,
2. Left Department before Treat,NLO21,ST MARY'S URGENT CARE CENTRE,May-20,All Patients,35,2705,1,
2. Left Department before Treat,NLO26,ROYAL STOKE UNIVERSITY HOSPITAL URGENT CARE CENTRE,May-20,All Patients,0,3790,0,
2. Left Department before Treat,NNF,CITY HEALTH CARE PARTNERSHIP CIC,May-20,All Patients,30,4620,1,
2. Left Department before Treat,NNJ,DHU HEALTH CARE C.I.C,May-20,All Patients,*,1530,*,
2. Left Department before Treat,NQ106,FRYATT HOSPITAL,May-20,All Patients,0,70,-,
2. Left Department before Treat,NQ108,CLACTON HOSPITAL,May-20,All Patients,10,1240,1,
2. Left Department before Treat,NQT5F,SKELMERSDALE WALK IN CENTRE,May-20,All Patients,*,110,*,
2. Left Department before Treat,NQT5G,URGENT CARE CENTRE,May-20,All Patients,20,1455,1,
2. Left Department before Treat,NQT5H,PAULTON MEMORIAL HOSPITAL,May-20,All Patients,0,50,-,
2. Left Department before Treat,NR318,SEATON HOUSE,May-20,All Patients,10,1790,1,
2. Left Department before Treat,NTPH1,PRACTICE PLUS GROUP HOSPITAL - SHEPTON MALLET,May-20,All Patients,*,490,*,
2. Left Department before Treat,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,May-20,All Patients,430,17980,2,
2. Left Department before Treat,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,May-20,All Patients,225,13495,2,
2. Left Department before Treat,R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,May-20,All Patients,*,1625,*,
2. Left Department before Treat,R1F,ISLE OF WIGHT NHS TRUST,May-20,All Patients,10,1860,1,
2. Left Department before Treat,R1H,BARTS HEALTH NHS TRUST,May-20,All Patients,220,17560,1,
2. Left Department before Treat,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,May-20,All Patients,175,7480,2,
2. Left Department before Treat,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,May-20,All Patients,0,4900,0,
2. Left Department before Treat,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,May-20,All Patients,40,3595,1,
2. Left Department before Treat,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,May-20,All Patients,170,7780,2,
2. Left Department before Treat,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,May-20,All Patients,80,5230,2,
2. Left Department before Treat,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,May-20,All Patients,210,7795,3,
2. Left Department before Treat,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,May-20,All Patients,275,21870,1,
2. Left Department before Treat,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,May-20,All Patients,300,14295,2,
2. Left Department before Treat,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,May-20,All Patients,0,9470,0,
2. Left Department before Treat,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,May-20,All Patients,75,3390,2,
2. Left Department before Treat,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,May-20,All Patients,25,1885,1,
2. Left Department before Treat,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,May-20,All Patients,80,6945,1,
2. Left Department before Treat,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,May-20,All Patients,30,5055,1,
2. Left Department before Treat,RBK,WALSALL HEALTHCARE NHS TRUST,May-20,All Patients,135,4680,3,
2. Left Department before Treat,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,May-20,All Patients,85,5860,1,
2. Left Department before Treat,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,May-20,All Patients,270,10175,3,
2. Left Department before Treat,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,May-20,All Patients,*,2975,*,
2. Left Department before Treat,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,May-20,All Patients,125,6320,2,
2. Left Department before Treat,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,May-20,All Patients,60,3300,2,
2. Left Department before Treat,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,May-20,All Patients,165,10490,2,
2. Left Department before Treat,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,May-20,All Patients,115,7795,1,
2. Left Department before Treat,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,May-20,All Patients,25,3385,1,
2. Left Department before Treat,RCF,AIREDALE NHS FOUNDATION TRUST,May-20,All Patients,80,3865,2,
2. Left Department before Treat,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,May-20,All Patients,*,2415,*,
2. Left Department before Treat,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",May-20,All Patients,50,4720,1,
2. Left Department before Treat,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,May-20,All Patients,70,5520,1,
2. Left Department before Treat,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,May-20,All Patients,110,5585,2,
2. Left Department before Treat,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,May-20,All Patients,125,12020,1,
2. Left Department before Treat,RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,May-20,All Patients,65,5595,1,
2. Left Department before Treat,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,May-20,All Patients,125,14670,1,
2. Left Department before Treat,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,May-20,All Patients,150,9995,2,
2. Left Department before Treat,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,May-20,All Patients,165,16545,1,
2. Left Department before Treat,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,May-20,All Patients,20,1230,2,
2. Left Department before Treat,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",May-20,All Patients,185,9925,2,
2. Left Department before Treat,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,May-20,All Patients,65,6030,1,
2. Left Department before Treat,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,May-20,All Patients,100,6015,2,
2. Left Department before Treat,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,May-20,All Patients,70,5680,1,
2. Left Department before Treat,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,May-20,All Patients,0,10345,0,
2. Left Department before Treat,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,May-20,All Patients,65,5030,1,
2. Left Department before Treat,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,May-20,All Patients,30,4815,1,
2. Left Department before Treat,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,May-20,All Patients,80,8590,1,
2. Left Department before Treat,RH5,SOMERSET NHS FOUNDATION TRUST,May-20,All Patients,60,8860,1,
2. Left Department before Treat,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,May-20,All Patients,0,6465,0,
2. Left Department before Treat,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,May-20,All Patients,675,7580,9,
2. Left Department before Treat,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,May-20,All Patients,290,9185,3,
2. Left Department before Treat,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,May-20,All Patients,680,9135,7,
2. Left Department before Treat,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,May-20,All Patients,80,8005,1,
2. Left Department before Treat,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,May-20,All Patients,110,7195,2,
2. Left Department before Treat,RJ2,LEWISHAM AND GREENWICH NHS TRUST,May-20,All Patients,305,12125,3,
2. Left Department before Treat,RJ6,CROYDON HEALTH SERVICES NHS TRUST,May-20,All Patients,100,9750,1,
2. Left Department before Treat,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,May-20,All Patients,90,7720,1,
2. Left Department before Treat,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,May-20,All Patients,35,4325,1,
2. Left Department before Treat,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,May-20,All Patients,235,13100,2,
2. Left Department before Treat,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,May-20,All Patients,75,9560,1,
2. Left Department before Treat,RJN,EAST CHESHIRE NHS TRUST,May-20,All Patients,70,3140,2,
2. Left Department before Treat,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,May-20,All Patients,60,5465,1,
2. Left Department before Treat,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,May-20,All Patients,285,11665,2,
2. Left Department before Treat,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,May-20,All Patients,95,7565,1,
2. Left Department before Treat,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,May-20,All Patients,210,7980,3,
2. Left Department before Treat,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,May-20,All Patients,100,9855,1,
2. Left Department before Treat,RKE,WHITTINGTON HEALTH NHS TRUST,May-20,All Patients,165,5705,3,
2. Left Department before Treat,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,May-20,All Patients,140,9870,1,
2. Left Department before Treat,RLQ,WYE VALLEY NHS TRUST,May-20,All Patients,75,3920,2,
2. Left Department before Treat,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,May-20,All Patients,35,5020,1,
2. Left Department before Treat,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,May-20,All Patients,240,9825,2,
2. Left Department before Treat,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,May-20,All Patients,140,6220,2,
2. Left Department before Treat,RMC,BOLTON NHS FOUNDATION TRUST,May-20,All Patients,0,7845,0,
2. Left Department before Treat,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,May-20,All Patients,175,6465,3,
2. Left Department before Treat,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,May-20,All Patients,110,6990,2,
2. Left Department before Treat,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,May-20,All Patients,90,9130,1,
2. Left Department before Treat,RN7,DARTFORD AND GRAVESHAM NHS TRUST,May-20,All Patients,*,7455,*,
2. Left Department before Treat,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,May-20,All Patients,20,6065,0,
2. Left Department before Treat,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,May-20,All Patients,60,6020,1,
2. Left Department before Treat,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,May-20,All Patients,90,6065,1,
2. Left Department before Treat,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,May-20,All Patients,85,7195,1,
2. Left Department before Treat,RNU,OXFORD HEALTH NHS FOUNDATION TRUST,May-20,All Patients,0,2380,0,
2. Left Department before Treat,RNZ,SALISBURY NHS FOUNDATION TRUST,May-20,All Patients,35,3305,1,
2. Left Department before Treat,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,May-20,All Patients,260,11495,2,
2. Left Department before Treat,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,May-20,All Patients,15,4790,0,
2. Left Department before Treat,RPA,MEDWAY NHS FOUNDATION TRUST,May-20,All Patients,145,8220,2,
2. Left Department before Treat,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,May-20,All Patients,0,535,0,
2. Left Department before Treat,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,May-20,All Patients,20,2960,1,
2. Left Department before Treat,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,May-20,All Patients,265,10195,3,
2. Left Department before Treat,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,May-20,All Patients,100,6295,2,
2. Left Department before Treat,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,May-20,All Patients,115,5730,2,
2. Left Department before Treat,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,May-20,All Patients,335,5525,6,
2. Left Department before Treat,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,May-20,All Patients,140,12170,1,
2. Left Department before Treat,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",May-20,All Patients,15,8085,0,
2. Left Department before Treat,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,May-20,All Patients,540,21125,3,
2. Left Department before Treat,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,May-20,All Patients,45,4735,1,
2. Left Department before Treat,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,May-20,All Patients,205,9455,2,
2. Left Department before Treat,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,May-20,All Patients,0,8915,0,
2. Left Department before Treat,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,May-20,All Patients,80,11520,1,
2. Left Department before Treat,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,May-20,All Patients,140,15025,1,
2. Left Department before Treat,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,May-20,All Patients,95,8845,1,
2. Left Department before Treat,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,May-20,All Patients,10,6445,0,
2. Left Department before Treat,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,May-20,All Patients,50,6705,1,
2. Left Department before Treat,RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,May-20,All Patients,10,2500,0,
2. Left Department before Treat,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,May-20,All Patients,155,9040,2,
2. Left Department before Treat,RTV,NORTH WEST BOROUGHS HEALTHCARE NHS FOUNDATION TRUST,May-20,All Patients,10,915,1,
2. Left Department before Treat,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,May-20,All Patients,210,6130,3,
2. Left Department before Treat,RVJ,NORTH BRISTOL NHS TRUST,May-20,All Patients,75,5975,1,
2. Left Department before Treat,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,May-20,All Patients,10,8780,0,
2. Left Department before Treat,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,May-20,All Patients,315,13965,2,
2. Left Department before Treat,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,May-20,All Patients,395,7855,5,
2. Left Department before Treat,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,May-20,All Patients,60,4570,1,
2. Left Department before Treat,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,May-20,All Patients,*,680,*,
2. Left Department before Treat,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,May-20,All Patients,385,20005,2,
2. Left Department before Treat,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,May-20,All Patients,285,8295,3,
2. Left Department before Treat,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,May-20,All Patients,110,9015,1,
2. Left Department before Treat,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,May-20,All Patients,310,12510,2,
2. Left Department before Treat,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,May-20,All Patients,10,10990,0,
2. Left Department before Treat,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,May-20,All Patients,170,8855,2,
2. Left Department before Treat,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,May-20,All Patients,100,9155,1,
2. Left Department before Treat,RWJ,STOCKPORT NHS FOUNDATION TRUST,May-20,All Patients,100,6450,2,
2. Left Department before Treat,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,May-20,All Patients,105,11860,1,
2. Left Department before Treat,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,May-20,All Patients,175,8320,2,
2. Left Department before Treat,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,May-20,All Patients,0,145,-,
2. Left Department before Treat,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,May-20,All Patients,110,9405,1,
2. Left Department before Treat,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,May-20,All Patients,755,12320,6,
2. Left Department before Treat,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,May-20,All Patients,160,9095,2,
2. Left Department before Treat,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,May-20,All Patients,250,14570,2,
2. Left Department before Treat,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,May-20,All Patients,0,11235,0,
2. Left Department before Treat,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,May-20,All Patients,165,4770,3,
2. Left Department before Treat,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,May-20,All Patients,120,8960,1,
2. Left Department before Treat,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,May-20,All Patients,140,9760,1,
2. Left Department before Treat,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,May-20,All Patients,0,5305,0,
2. Left Department before Treat,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,May-20,All Patients,145,11010,1,
2. Left Department before Treat,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,May-20,All Patients,90,7350,1,
2. Left Department before Treat,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,May-20,All Patients,65,1830,4,
2. Left Department before Treat,RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,May-20,All Patients,60,6285,1,
2. Left Department before Treat,RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,May-20,All Patients,10,7465,0,
2. Left Department before Treat,RY9,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,May-20,All Patients,80,5645,1,
2. Left Department before Treat,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,May-20,All Patients,390,9425,4,
2. Left Department before Treat,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,May-20,All Patients,290,9965,3,
2. Left Department before Treat,RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,May-20,All Patients,*,1320,*,
2. Left Department before Treat,RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,May-20,All Patients,*,2870,*,
2. Left Department before Treat,AAH01,TETBURY HOSPITAL TRUST,Jun-20,All Patients,0,180,-,
2. Left Department before Treat,AD903,URGENT CARE CENTRE,Jun-20,All Patients,55,4775,1,
2. Left Department before Treat,AD904,UCC AT HILLINGDON HOSPITAL,Jun-20,All Patients,85,4980,2,
2. Left Department before Treat,AD906,UCC - NORTHWICK PARK HOSPITAL,Jun-20,All Patients,95,6095,2,
2. Left Department before Treat,AD907,ASHFORD HEALTH CENTRE,Jun-20,All Patients,15,1600,1,
2. Left Department before Treat,AD913,BECKENHAM BEACON UCC,Jun-20,All Patients,10,2295,0,
2. Left Department before Treat,AD914,UCC - QUEEN ELIZABETH HOSPITAL,Jun-20,All Patients,130,5330,2,
2. Left Department before Treat,AD916,WOKING WALK IN CENTRE,Jun-20,All Patients,*,1550,*,
2. Left Department before Treat,AD918,UTC - CENTRAL MIDDLESEX HOSPITAL,Jun-20,All Patients,15,1675,1,
2. Left Department before Treat,AQN04,PHL LYMINGTON UTC,Jun-20,All Patients,*,1505,*,
2. Left Department before Treat,AXA,TOWER HAMLETS GP CARE GROUP CIC,Jun-20,All Patients,60,3340,2,
2. Left Department before Treat,AXT,ONE MEDICAL GROUP LIMITED,Jun-20,All Patients,35,3630,1,
