INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,MEAN,MAXIMUM
I01966,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,4.4993,19
I01966,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,5.1673,12
I01966,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,5.9658,19
I01966,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,6.4309,19
I01966,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,6.1071,19
I01966,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,5.2142,19
I01966,RNZ,SALISBURY NHS FOUNDATION TRUST,4.3766,19
I01966,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,5.7696,19
I01966,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,4.6989,19
I01966,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,5.5589,19
I01966,RH5,SOMERSET NHS FOUNDATION TRUST,5.348,19
I01966,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,6.0757,13
I01966,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,7.19,19
I01966,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,5.1259,19
I01966,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,5.3429,19
I01966,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5.9191,19
I01966,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,5.6881,19
I01966,RWJ,STOCKPORT NHS FOUNDATION TRUST,5.6782,19
I01966,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,7.4145,19
I01966,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,6.4564,19
I01966,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,4.9017,19
I01966,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,3.8169,19
I01966,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,5.5285,19
I01966,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,4.4566,19
I01966,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",4.0571,13
I01966,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,6.5556,19
I01966,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,5.0257,19
I01966,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,5.327,19
I01966,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,5.6713,12
I01966,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,7.2153,19
I01966,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,6.7519,13
I01966,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,8.8713,19
I01966,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,6.2697,19
I01966,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,5.0904,12
I01966,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,4.3162,19
I01966,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,5.3817,19
I01966,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,5.1572,19
I01966,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,5.5825,19
I01966,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,5.8462,19
I01966,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,6.054,19
I01966,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,5.5013,19
I01966,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,6.4417,19
I01966,RBK,WALSALL HEALTHCARE NHS TRUST,5.0371,19
I01966,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,6.8711,19
I01966,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,5.9504,19
I01966,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,4.8755,19
I01966,RKE,WHITTINGTON HEALTH NHS TRUST,5.1559,19
I01966,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,6.5097,19
I01966,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,6.4269,19
I01966,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",6.9174,19
I01966,RLQ,WYE VALLEY NHS TRUST,5.2143,19
I01966,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,5.1964,19
