INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,MEAN,MAXIMUM
I01965,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,3.7337,19
I01965,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,5.1671,12
I01965,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,5.2957,19
I01965,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,7.197,19
I01965,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,6.0734,19
I01965,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,4.8765,19
I01965,RNZ,SALISBURY NHS FOUNDATION TRUST,4.7975,19
I01965,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,4.8871,19
I01965,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,5.1784,19
I01965,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,5.2868,19
I01965,RH5,SOMERSET NHS FOUNDATION TRUST,5.2622,19
I01965,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,5.4743,13
I01965,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,5.0867,19
I01965,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,4.3617,19
I01965,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,4.975,19
I01965,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5.1036,19
I01965,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,6.2458,19
I01965,RWJ,STOCKPORT NHS FOUNDATION TRUST,5.1726,19
I01965,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,6.9848,19
I01965,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,7.1295,19
I01965,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,5.1568,19
I01965,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,4.1019,19
I01965,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,6.4078,19
I01965,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,4.9765,19
I01965,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",3.6212,13
I01965,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,7.214,19
I01965,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,8.7044,19
I01965,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,5.3283,19
I01965,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,5.888,11
I01965,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,5.859,19
I01965,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,7.3141,13
I01965,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,7.2841,19
I01965,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,6.2506,19
I01965,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,5.2119,12
I01965,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,4.5403,19
I01965,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,3.9728,19
I01965,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,4.7978,19
I01965,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,5.3131,19
I01965,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,5.6478,19
I01965,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,6.7064,19
I01965,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,6.4206,19
I01965,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,5.5493,19
I01965,RBK,WALSALL HEALTHCARE NHS TRUST,6.3511,19
I01965,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,8.1523,19
I01965,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,5.0141,19
I01965,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,4.3479,19
I01965,RKE,WHITTINGTON HEALTH NHS TRUST,3.0839,19
I01965,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,5.7609,19
I01965,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,5.6139,19
I01965,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",6.3761,19
I01965,RLQ,WYE VALLEY NHS TRUST,4.695,19
I01965,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,4.9637,19
