code_hopital,annee_fiscale,taux_occupation_lits,taux_mortalite,taux_infection_nosocomiale,duree_moyenne_sejour_jours,temps_attente_median_min,taux_lits_vacants,taux_transfert,nombre_lits_disponibles,total_admissions,nombre_medecins,nombre_infirmiers,ratio_medecin_par_lit,ratio_infirmier_par_lit,ratio_infirmier_par_medecin,statut_hopital
RNZ,2023-24,91.6,2.814,0.0838,5.11721147037999,227.0,8.4,1.18,482.1098901098901,58465.0,499.0,1122.0,1.035,2.327,2.248,Attention
RTE,2023-24,93.8,2.737,0.1246,4.30318561435464,199.0,6.2,5.58,909.3736263736264,164495.0,1078.0,2378.0,1.185,2.615,2.206,Critique
RA2,2023-24,83.5,2.01,0.0688,4.09446424649898,201.0,16.5,6.35,531.0,91505.0,768.0,1404.0,1.446,2.644,1.828,Attention
RDU,2023-24,92.2,2.514,0.0961,5.87309239383098,284.0,7.8,3.58,1438.7582417582419,163295.0,1381.0,3086.0,0.96,2.145,2.235,Critique
RHM,2023-24,91.9,2.077,0.0915,5.03394527871688,221.0,8.1,0.88,1263.076923076923,172665.0,1955.0,4096.0,1.548,3.243,2.095,Attention
RHU,2023-24,95.1,2.333,0.108,4.55847061639488,218.0,4.9,1.04,1170.1648351648353,165750.0,1278.0,2719.0,1.092,2.324,2.128,Critique
RHW,2023-24,95.3,2.443,0.1025,3.46907002583633,161.0,4.7,7.59,675.0,105315.0,902.0,1906.0,1.336,2.824,2.113,Critique
RPA,2023-24,84.1,2.834,0.0927,4.78256676557864,189.0,15.9,1.62,615.3076923076923,79870.0,757.0,1395.0,1.23,2.267,1.843,Normal
RTH,2023-24,93.8,2.298,0.0956,3.66010379288007,225.0,6.2,1.62,1112.088888888889,207035.0,2225.0,4246.0,2.001,3.818,1.908,Attention
RTK,2023-24,86.5,2.196,0.0663,3.14472045508095,227.0,13.5,6.91,525.8351648351648,107090.0,702.0,1264.0,1.335,2.404,1.801,Attention
RTP,2023-24,85.3,2.491,0.093,4.56532039389182,199.0,14.7,1.32,837.3516483516484,103215.0,704.0,1431.0,0.841,1.709,2.033,Attention
RVV,2023-24,93.6,2.673,0.1862,4.71413876459394,161.0,6.4,1.11,1150.2967032967033,150885.0,1275.0,2988.0,1.108,2.598,2.344,Critique
RWF,2023-24,86.1,2.296,0.1189,2.74072116513977,111.0,13.9,1.21,765.021978021978,153905.0,995.0,1899.0,1.301,2.482,1.909,Attention
RXC,2023-24,90.3,2.487,0.0996,4.66838496250261,200.0,9.7,1.1,804.6593406593406,115470.0,783.0,2228.0,0.973,2.769,2.845,Attention
RXQ,2023-24,95.6,2.457,0.0643,3.36410099423689,314.0,4.4,7.59,567.0,121225.0,848.0,2086.0,1.496,3.679,2.46,Critique
RBK,2023-24,87.7,2.606,0.1303,2.82525343079788,190.0,12.3,10.84,567.5824175824176,104380.0,556.0,1548.0,0.98,2.727,2.784,Attention
RFS,2023-24,92.4,2.612,0.1154,3.17032183650257,227.0,7.6,5.2,550.3626373626373,89230.0,504.0,1293.0,0.916,2.349,2.565,Critique
RJC,2023-24,88.0,2.595,0.0723,3.93318307248331,195.0,12.0,1.22,496.27472527472526,81630.0,493.0,1707.0,0.993,3.44,3.462,Attention
RJE,2023-24,87.8,2.492,0.1053,3.4034685460037,175.0,12.2,6.41,1452.0,244990.0,1535.0,3369.0,1.057,2.32,2.195,Attention
RK5,2023-24,91.6,2.666,0.1049,4.03459021502026,164.0,8.4,7.09,719.4725274725274,103865.0,699.0,1574.0,0.972,2.188,2.252,Attention
RKB,2023-24,93.2,2.648,0.0766,4.27425580234844,112.0,6.8,5.15,1172.6923076923076,173545.0,1297.0,2912.0,1.106,2.483,2.245,Attention
RL4,2023-24,91.1,2.277,0.0827,3.07485772788902,127.0,8.9,4.46,887.5934065934066,171775.0,1210.0,3028.0,1.363,3.411,2.502,Attention
RLQ,2023-24,97.6,2.584,0.1324,4.13491262982853,238.0,2.4,1.24,315.72527472527474,61160.0,431.0,1089.0,1.365,3.449,2.527,Attention
RLT,2023-24,99.2,2.774,0.1162,4.30070785633138,171.0,0.8,1.12,406.7142857142857,53340.0,368.0,790.0,0.905,1.942,2.147,Attention
RNA,2023-24,94.3,2.609,0.0841,2.90100884894811,208.0,5.7,10.48,688.7252747252747,136775.0,715.0,1834.0,1.038,2.663,2.565,Critique
RNQ,2023-24,95.2,2.684,0.0991,4.3609952296324,249.0,4.8,4.44,596.0,93865.0,551.0,1319.0,0.924,2.213,2.394,Critique
RNS,2023-24,84.8,2.121,0.1295,3.33477305543349,174.0,15.2,7.37,780.8791208791209,122735.0,762.0,1586.0,0.976,2.031,2.081,Attention
RTG,2023-24,90.1,2.27,0.1101,4.25516866547954,214.0,9.9,4.14,1583.7142857142858,248755.0,1662.0,3878.0,1.049,2.449,2.333,Attention
RWD,2023-24,81.9,2.583,0.0787,4.6182816118006,294.0,18.1,1.34,1148.923076923077,143500.0,1146.0,2389.0,0.997,2.079,2.085,Attention
RWE,2023-24,92.6,2.535,0.1108,3.74160112971015,215.0,7.4,6.72,1811.3296703296703,279690.0,2402.0,4762.0,1.326,2.629,1.983,Critique
RX1,2023-24,88.1,2.606,0.0828,4.34628667861488,246.0,11.9,5.65,1805.1978021978023,260950.0,2377.0,5365.0,1.317,2.972,2.257,Attention
