code_hopital,annee_fiscale,taux_occupation_lits,taux_mortalite,taux_infection_nosocomiale,duree_moyenne_sejour_jours,temps_attente_median_min,taux_lits_vacants,taux_transfert,nombre_lits_disponibles,total_admissions,nombre_medecins,nombre_infirmiers,ratio_medecin_par_lit,ratio_infirmier_par_lit,ratio_infirmier_par_medecin,statut_hopital
RYJ,2024-25,95.4,1.773,0.0531,4.0283,156.0,4.6,7.22,1100.6,244700.0,2386.0,4229.0,2.168,3.842,1.772,Attention
R0D,2024-25,88.8,2.184,0.0972,3.958233,191.0,11.2,0.87,1164.8777777777777,189310.0,1260.0,2665.0,1.082,2.288,2.115,Attention
RA7,2024-25,97.1,2.272,0.094,3.478547,192.0,2.9,4.64,1051.8333333333333,197770.0,1796.0,3924.0,1.707,3.731,2.185,Attention
RA9,2024-25,93.7,2.374,0.1313,4.137893,186.0,6.3,0.02,384.8333333333333,83795.0,674.0,1572.0,1.751,4.085,2.332,Attention
RBD,2024-25,91.3,2.658,0.1437,3.857693,96.0,8.7,0.89,372.0444444444444,63340.0,447.0,978.0,1.201,2.629,2.188,Attention
RD1,2024-25,92.7,2.342,0.1469,3.83294,230.0,7.3,1.24,580.2888888888889,102805.0,820.0,1822.0,1.413,3.14,2.222,Attention
RH5,2024-25,90.0,2.542,0.0983,5.372265,155.0,10.0,4.54,1410.6777777777777,157615.0,1294.0,3508.0,0.917,2.487,2.711,Attention
RH8,2024-25,90.5,2.376,0.0674,4.054594,180.0,9.5,0.8,1165.9,224020.0,1483.0,3440.0,1.272,2.951,2.32,Attention
RK9,2024-25,93.6,2.79,0.1366,4.83423,181.0,6.4,0.97,1104.1,151505.0,1399.0,2765.0,1.267,2.504,1.976,Critique
RN3,2024-25,94.8,2.564,0.1028,3.68494,207.0,5.2,4.82,626.4777777777778,109880.0,733.0,1778.0,1.17,2.838,2.426,Critique
RNZ,2024-25,92.3,2.402,0.0758,4.75519,226.0,7.7,1.25,502.24444444444447,64665.0,534.0,1210.0,1.063,2.409,2.266,Attention
RTE,2024-25,90.6,2.92,0.1147,3.392551,193.0,9.4,5.17,904.0333333333333,178650.0,1129.0,2443.0,1.249,2.702,2.164,Attention
RA2,2024-25,86.0,2.01,0.063,3.482759,189.0,14.0,6.42,533.0,99935.0,807.0,1451.0,1.514,2.722,1.798,Attention
RDU,2024-25,90.3,2.545,0.0948,6.063512,194.0,9.7,3.87,1424.0444444444445,165665.0,1471.0,3198.0,1.033,2.246,2.174,Attention
RHM,2024-25,92.6,2.1,0.0842,4.766675,233.0,7.4,0.79,1260.9777777777779,187550.0,2040.0,4101.0,1.618,3.252,2.01,Attention
RHU,2024-25,95.5,2.179,0.1129,4.528102,177.0,4.5,1.13,1191.4444444444443,158580.0,1309.0,2771.0,1.099,2.326,2.117,Critique
RHW,2024-25,96.0,2.538,0.0967,3.441911,179.0,4.0,7.76,680.6888888888889,111675.0,944.0,1913.0,1.387,2.81,2.026,Critique
RPA,2024-25,84.5,2.988,0.1004,5.655642,152.0,15.5,1.51,661.4555555555555,73670.0,777.0,1441.0,1.175,2.179,1.855,Attention
RTH,2024-25,94.6,2.246,0.0905,3.566435,222.0,5.4,1.53,1059.7111111111112,218885.0,2355.0,4311.0,2.222,4.068,1.831,Attention
RTK,2024-25,89.2,2.472,0.0635,3.291966,198.0,10.8,5.61,508.3888888888889,111835.0,760.0,1331.0,1.495,2.618,1.751,Attention
RTP,2024-25,91.6,2.471,0.0923,4.279998,221.0,8.4,1.44,713.7666666666667,104065.0,740.0,1448.0,1.037,2.029,1.957,Attention
RVV,2024-25,91.3,2.827,0.1933,5.476408,138.0,8.7,1.06,1166.6666666666667,145380.0,1355.0,3024.0,1.161,2.592,2.232,Attention
RWF,2024-25,85.8,2.333,0.1123,2.854088,125.0,14.2,1.05,751.7,162935.0,1107.0,2047.0,1.473,2.723,1.849,Attention
RXC,2024-25,89.1,2.552,0.0978,5.240619,196.0,10.9,0.93,818.3222222222222,117615.0,821.0,2243.0,1.003,2.741,2.732,Attention
RXQ,2024-25,94.4,2.146,0.058,2.832485,154.0,5.6,6.87,557.0,134390.0,886.0,2071.0,1.591,3.718,2.337,Critique
RBK,2024-25,87.4,2.351,0.1183,2.741918,176.0,12.6,9.86,581.3555555555556,115000.0,574.0,1594.0,0.987,2.742,2.777,Attention
RFS,2024-25,89.3,2.794,0.1105,3.131095,234.0,10.7,5.19,585.6888888888889,93235.0,544.0,1312.0,0.929,2.24,2.412,Attention
RJC,2024-25,90.5,2.472,0.0687,3.848582,211.0,9.5,1.32,483.73333333333335,85905.0,556.0,1839.0,1.149,3.802,3.308,Attention
RJE,2024-25,88.4,2.619,0.0993,3.416639,186.0,11.6,6.35,1464.0,259820.0,1655.0,3645.0,1.13,2.49,2.202,Attention
RK5,2024-25,89.5,2.657,0.0997,4.029756,186.0,10.5,6.6,747.3,109305.0,746.0,1631.0,0.998,2.183,2.186,Attention
RKB,2024-25,95.1,2.695,0.0776,4.4324,145.0,4.9,5.16,1149.0222222222221,171430.0,1416.0,3214.0,1.232,2.797,2.27,Critique
RL4,2024-25,94.6,2.506,0.0788,3.100172,120.0,5.4,5.43,875.3777777777777,180280.0,1225.0,2946.0,1.399,3.365,2.405,Attention
RLQ,2024-25,97.4,2.487,0.1339,4.473137,235.0,2.6,1.15,313.84444444444443,60480.0,464.0,1167.0,1.478,3.718,2.515,Attention
RLT,2024-25,98.7,2.566,0.1089,4.202751,191.0,1.3,0.95,430.9888888888889,56920.0,428.0,851.0,0.993,1.975,1.988,Attention
RNA,2024-25,94.3,2.517,0.0758,2.785245,201.0,5.7,10.5,688.7252747252747,151640.0,776.0,1861.0,1.127,2.702,2.398,Critique
RNQ,2024-25,95.8,2.499,0.0923,3.944591,187.0,4.2,2.61,643.0,100725.0,617.0,1368.0,0.96,2.128,2.217,Attention
RNS,2024-25,86.2,2.367,0.1268,3.566382,164.0,13.8,7.03,770.8222222222222,125360.0,832.0,1691.0,1.079,2.194,2.032,Attention
RTG,2024-25,90.0,2.258,0.1027,4.225235,155.0,10.0,5.57,1585.1555555555556,266800.0,1738.0,3900.0,1.096,2.46,2.244,Attention
RWD,2024-25,80.4,2.682,0.0741,4.491854,220.0,19.6,1.17,1157.8777777777777,152485.0,1223.0,2695.0,1.056,2.328,2.204,Normal
RWE,2024-25,91.7,2.483,0.1024,3.466569,210.0,8.3,6.9,1890.6666666666667,302595.0,2558.0,5173.0,1.353,2.736,2.022,Attention
RX1,2024-25,88.2,2.702,0.0753,3.999043,235.0,11.8,5.28,1833.3111111111111,286900.0,2448.0,5492.0,1.335,2.996,2.243,Attention
RXW,2024-25,94.3,2.429,0.0939,3.958871,208.0,5.7,0.93,829.6555555555556,150080.0,900.0,2064.0,1.085,2.488,2.293,Attention
RAJ,2024-25,95.5,2.7,0.1431,4.204091,218.0,4.5,3.09,1848.911111111111,302480.0,2300.0,4589.0,1.244,2.482,1.995,Critique
RC9,2024-25,93.4,2.442,0.0567,3.30144,155.0,6.6,6.49,1149.8333333333333,204415.0,1392.0,2465.0,1.211,2.144,1.771,Critique
RCX,2024-25,95.8,2.784,0.1522,4.681335,234.0,4.2,5.32,520.7,75580.0,496.0,1043.0,0.953,2.003,2.103,Critique
RD8,2024-25,89.8,2.748,0.0892,4.654821,220.0,10.2,1.96,586.6222222222223,71770.0,552.0,1159.0,0.941,1.976,2.1,Attention
RGN,2024-25,84.9,2.5,0.1277,4.154185,201.0,15.1,1.26,1108.388888888889,149535.0,1104.0,2242.0,0.996,2.023,2.031,Normal
RGP,2024-25,87.3,2.842,0.0685,5.268748,228.0,12.7,0.8,452.0,71500.0,454.0,1099.0,1.004,2.431,2.421,Attention
RGR,2024-25,87.1,2.134,0.1642,4.513498,156.0,12.9,1.01,516.9444444444445,72455.0,577.0,1334.0,1.116,2.581,2.312,Attention
RGT,2024-25,92.1,2.462,0.1246,6.612103,163.0,7.9,0.66,1088.088888888889,158890.0,1887.0,3974.0,1.734,3.652,2.106,Critique
RM1,2024-25,93.1,2.995,0.1109,4.933026,162.0,6.9,5.41,1044.088888888889,158640.0,1354.0,2586.0,1.297,2.477,1.91,Critique
RQW,2024-25,92.7,2.722,0.1129,4.298522,200.0,7.3,5.9,498.0,68220.0,637.0,1114.0,1.279,2.237,1.749,Critique
RWG,2024-25,75.6,2.572,0.0872,3.307211,168.0,24.4,1.3,733.0222222222222,119230.0,816.0,1597.0,1.113,2.179,1.957,Normal
RWH,2024-25,91.0,2.301,0.0958,3.885427,150.0,9.0,1.05,648.3666666666667,149305.0,1032.0,1845.0,1.592,2.846,1.788,Attention
RBL,2024-25,91.4,2.454,0.1394,4.614558,262.5,8.6,4.82,801.6555555555556,116900.0,776.0,1698.0,0.968,2.118,2.188,Critique
RBN,2024-25,93.5,2.615,0.1067,3.847284,171.0,6.5,3.95,1298.2555555555555,204405.0,1355.0,2961.0,1.044,2.281,2.185,Critique
RBT,2024-25,94.5,2.278,0.0651,3.693147,144.0,5.5,6.69,527.1555555555556,89145.0,529.0,1564.0,1.003,2.967,2.957,Critique
REM,2024-25,96.9,2.402,0.1353,6.239212,233.0,3.1,0.03,1599.4555555555555,178120.0,1871.0,4054.0,1.17,2.535,2.167,Critique
RJN,2024-25,86.2,3.05,0.0708,6.038427,233.0,13.8,1.36,355.0888888888889,28260.0,318.0,770.0,0.896,2.168,2.421,Attention
RJR,2024-25,92.7,2.322,0.1439,4.267481,223.0,7.3,7.24,539.3888888888889,84790.0,588.0,1301.0,1.09,2.412,2.213,Critique
RM3,2024-25,83.1,2.534,0.1232,4.314929,197.0,16.9,1.34,1595.3076923076924,245965.0,2215.0,5680.0,1.388,3.56,2.564,Normal
RMC,2024-25,90.1,2.971,0.2197,3.960232,177.0,9.9,7.83,686.5111111111111,86935.0,675.0,1998.0,0.983,2.91,2.96,Attention
RMP,2024-25,89.9,2.623,0.1661,4.317502,161.0,10.1,1.09,499.35555555555555,52980.0,483.0,1252.0,0.967,2.507,2.592,Attention
RRF,2024-25,92.7,2.599,0.1081,3.799738,184.0,7.3,1.05,563.1555555555556,90680.0,664.0,1951.0,1.179,3.464,2.938,Attention
RTX,2024-25,89.5,2.386,0.1272,3.690429,172.0,10.5,0.64,650.2444444444444,113235.0,725.0,2202.0,1.115,3.386,3.037,Attention
RWJ,2024-25,88.0,2.372,0.1542,4.332933,217.0,12.0,1.3,686.6555555555556,88180.0,668.0,1821.0,0.973,2.652,2.726,Attention
RWW,2024-25,90.4,2.54,0.1377,6.365583,197.0,9.6,1.21,637.0,61720.0,516.0,1171.0,0.81,1.838,2.269,Attention
RXL,2024-25,93.4,2.616,0.1039,5.407529,345.0,6.6,1.39,776.0,119320.0,735.0,2635.0,0.947,3.396,3.585,Critique
RXN,2024-25,92.7,2.312,0.2134,3.999154,194.0,7.3,6.82,930.4222222222222,142455.0,1145.0,2595.0,1.231,2.789,2.266,Critique
RXR,2024-25,94.2,3.309,0.1431,6.521454,104.0,5.8,1.8,1038.7,115970.0,1024.0,2911.0,0.986,2.803,2.843,Attention
R0B,2024-25,89.0,2.766,0.0726,5.180387,164.0,11.0,0.94,1110.388888888889,152865.0,1062.0,3227.0,0.956,2.906,3.039,Attention
RAE,2024-25,88.9,3.057,0.036,3.232845,168.0,11.1,13.8,698.5444444444445,133365.0,879.0,1803.0,1.258,2.581,2.051,Attention
RCB,2024-25,94.4,2.404,0.112,3.700158,179.0,5.6,5.48,901.7111111111111,194565.0,1046.0,2431.0,1.16,2.696,2.324,Critique
RCD,2024-25,92.1,2.643,0.0757,4.444399,152.5,7.9,0.82,322.6777777777778,68685.0,484.0,1939.0,1.5,6.009,4.006,Attention
RCF,2024-25,89.8,2.477,0.1627,4.075529,224.0,10.2,1.35,413.3888888888889,73120.0,401.0,897.0,0.97,2.17,2.237,Attention
RFF,2024-25,90.3,2.412,0.0933,3.616887,186.0,9.7,3.14,520.0,83575.0,482.0,1189.0,0.927,2.287,2.467,Attention
RFR,2024-25,92.2,2.624,0.1218,4.078676,178.0,7.8,0.81,485.65555555555557,68950.0,499.0,1357.0,1.027,2.794,2.719,Attention
RHQ,2024-25,89.6,2.41,0.0737,4.550714,182.0,10.4,4.83,1624.7666666666667,271465.0,1944.0,4606.0,1.196,2.835,2.369,Attention
RNN,2024-25,89.2,2.616,0.1632,5.381723,187.0,10.8,1.03,646.3333333333334,77200.0,675.0,2064.0,1.044,3.193,3.058,Attention
RP5,2024-25,89.3,2.846,0.1134,3.660528,160.0,10.7,0.99,820.3444444444444,127890.0,789.0,1846.0,0.962,2.25,2.34,Attention
RR8,2024-25,94.2,2.812,0.1386,6.606913,200.0,5.8,1.7,1892.2,189040.0,2698.0,4785.0,1.426,2.529,1.774,Critique
RTD,2024-25,81.6,2.285,0.0783,4.549037,138.0,18.4,0.67,1638.4222222222222,246345.0,2185.0,5044.0,1.334,3.079,2.308,Normal
RTF,2024-25,89.6,2.394,0.0971,3.390301,71.0,10.4,9.58,932.8111111111111,146190.0,868.0,2520.0,0.931,2.702,2.903,Attention
RTR,2024-25,89.8,2.618,0.1091,3.626149,137.0,10.2,9.16,993.8333333333334,180490.0,1262.0,3140.0,1.27,3.159,2.488,Attention
RVW,2024-25,86.9,2.382,0.1071,3.266999,94.0,13.1,1.28,587.4666666666667,98000.0,588.0,1637.0,1.001,2.787,2.784,Attention
RWA,2024-25,89.8,2.901,0.0568,4.56753,280.0,10.2,1.51,1233.7444444444445,177705.0,1368.0,2714.0,1.109,2.2,1.984,Attention
RWY,2024-25,85.5,2.867,0.0894,5.120535,148.0,14.5,1.61,809.1333333333333,102920.0,791.0,1897.0,0.978,2.344,2.398,Attention
RXP,2024-25,94.2,2.996,0.1169,4.804524,218.0,5.8,2.78,1010.5444444444445,130075.0,995.0,2627.0,0.985,2.6,2.64,Critique
