INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I01964,ENG,"ENGLAND",1174927,8491867,13.8
I01964,RCF,"AIREDALE NHS FOUNDATION TRUST",5065,31470,16.1
I01964,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",5620,44740,12.6
I01964,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",12055,77775,15.5
I01964,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",5685,44290,12.8
I01964,R1H,"BARTS HEALTH NHS TRUST",17620,137795,12.8
I01964,RC9,"BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST",13430,106060,12.7
I01964,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",8045,52850,15.2
I01964,RMC,"BOLTON NHS FOUNDATION TRUST",5790,56755,10.2
I01964,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",9810,76595,12.8
I01964,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",8120,59485,13.7
I01964,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",5765,60395,9.5
I01964,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",6100,62610,9.7
I01964,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",11705,88955,13.2
I01964,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",6235,49790,12.5
I01964,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",4570,46155,9.9
I01964,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",12705,84135,15.1
I01964,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",2280,29105,7.8
I01964,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",7570,55070,13.7
I01964,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",6355,59030,10.8
I01964,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",3865,26975,14.3
I01964,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",3630,51955,7.0
I01964,RJN,"EAST CHESHIRE NHS TRUST",1100,13350,8.2
I01964,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",13620,101680,13.4
I01964,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",13245,84465,15.7
I01964,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",13760,101065,13.6
I01964,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",9970,60280,16.5
I01964,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",3030,41175,7.4
I01964,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",13955,102365,13.6
I01964,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",4200,32380,13.0
I01964,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",3910,24475,16.0
I01964,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",14375,101750,14.1
I01964,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",8175,56585,14.4
I01964,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",10625,100635,10.6
I01964,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",10440,71195,14.7
I01964,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",3665,24875,14.7
I01964,RQX,"HOMERTON HEALTHCARE NHS FOUNDATION TRUST",4685,42450,11.0
I01964,RWA,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",3405,68980,4.9
I01964,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",6470,96445,6.7
I01964,R1F,"ISLE OF WIGHT NHS TRUST",3315,19325,17.2
