INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00721,ENG,"ENGLAND",253159,5388,100713,101343,2,40,40
I00721,RCF,"AIREDALE NHS FOUNDATION TRUST",940,0,205,205,0,22,22
I00721,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1435,10,690,695,1,48,48
I00721,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2190,0,945,945,0,43,43
I00721,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1380,0,395,395,0,29,29
I00721,R1H,"BARTS HEALTH NHS TRUST",2920,240,975,995,8,33,34
I00721,RC9,"BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST",2590,0,985,985,0,38,38
I00721,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2020,*,760,760,*,38,38
I00721,RMC,"BOLTON NHS FOUNDATION TRUST",1550,0,575,575,0,37,37
I00721,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1535,0,475,475,0,31,31
I00721,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1530,235,970,975,15,63,64
I00721,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2120,0,695,695,0,33,33
I00721,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2005,*,905,905,*,45,45
I00721,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1285,*,555,555,*,43,43
I00721,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1600,*,345,345,*,22,22
I00721,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1210,0,410,410,0,34,34
I00721,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",2885,0,1630,1630,0,56,56
I00721,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1005,0,555,555,0,55,55
I00721,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1390,0,775,775,0,56,56
I00721,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",2305,0,1025,1025,0,44,44
I00721,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1120,0,500,500,0,45,45
I00721,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",1840,0,755,755,0,41,41
I00721,RJN,"EAST CHESHIRE NHS TRUST",750,0,195,195,0,26,26
I00721,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",3250,0,1370,1370,0,42,42
I00721,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",2375,*,750,750,*,32,32
I00721,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",3910,10,1310,1320,0,34,34
