INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00720,ENG,ENGLAND,8305121,7884,159333,160711,0.1,1.9,1.9
I00720,RCF,AIREDALE NHS FOUNDATION TRUST,31155,0,265,265,0,0.9,0.9
I00720,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,57945,10,1195,1195,0,2.1,2.1
I00720,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",82420,0,1395,1395,0,1.7,1.7
I00720,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,45495,0,610,610,0,1.3,1.3
I00720,R1H,BARTS HEALTH NHS TRUST,119460,265,1840,1850,0.2,1.5,1.5
I00720,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,106190,0,1420,1420,0,1.3,1.3
I00720,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,53545,*,1280,1280,*,2.4,2.4
I00720,RMC,BOLTON NHS FOUNDATION TRUST,53990,0,740,740,0,1.4,1.4
I00720,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,79525,0,840,840,0,1.1,1.1
I00720,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,61130,290,1325,1385,0.5,2.2,2.3
I00720,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,60360,0,1190,1190,0,2,2
I00720,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,60895,*,1690,1690,*,2.8,2.8
I00720,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,92225,*,1315,1320,*,1.4,1.4
I00720,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,52995,0,730,730,0,1.4,1.4
I00720,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,40430,0,730,730,0,1.8,1.8
I00720,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,78225,0,2405,2405,0,3.1,3.1
I00720,RJ6,CROYDON HEALTH SERVICES NHS TRUST,27430,*,910,910,*,3.3,3.3
I00720,RN7,DARTFORD AND GRAVESHAM NHS TRUST,52130,*,995,995,*,1.9,1.9
I00720,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,60010,0,1430,1430,0,2.4,2.4
I00720,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,25005,0,660,660,0,2.6,2.6
I00720,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,48725,*,970,975,*,2,2
I00720,RJN,EAST CHESHIRE NHS TRUST,12405,0,300,300,0,2.4,2.4
I00720,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,89120,0,2055,2055,0,2.3,2.3
I00720,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,83325,0,1140,1140,0,1.4,1.4
I00720,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,95305,45,2350,2395,0,2.5,2.5
I00720,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,55290,25,1400,1425,0,2.5,2.6
I00720,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,37860,*,1080,1080,*,2.9,2.9
I00720,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,18340,0,345,345,0,1.9,1.9
I00720,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,34225,165,740,745,0.5,2.2,2.2
I00720,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,27875,0,525,525,0,1.9,1.9
I00720,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,92615,*,1610,1610,*,1.7,1.7
I00720,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,54215,15,1145,1145,0,2.1,2.1
I00720,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,101075,*,1770,1770,*,1.8,1.8
I00720,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,69185,675,2285,2320,1,3.3,3.4
I00720,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,25365,0,480,480,0,1.9,1.9
I00720,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,44125,*,370,370,*,0.8,0.8
I00720,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,80615,105,1565,1645,0.1,1.9,2
I00720,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,95970,0,2350,2350,0,2.4,2.4
I00720,R1F,ISLE OF WIGHT NHS TRUST,18585,0,715,715,0,3.8,3.8
I00720,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,30895,0,830,830,0,2.7,2.7
I00720,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,45710,0,1040,1040,0,2.3,2.3
I00720,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,87815,0,2105,2105,0,2.4,2.4
I00720,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,52340,0,700,700,0,1.3,1.3
I00720,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,73970,0,1785,1785,0,2.4,2.4
I00720,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,92035,0,1770,1770,0,1.9,1.9
I00720,RJ2,LEWISHAM AND GREENWICH NHS TRUST,82070,0,1290,1290,0,1.6,1.6
I00720,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,84255,515,3095,3195,0.6,3.7,3.8
I00720,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,102390,0,1315,1315,0,1.3,1.3
I00720,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,89510,0,1075,1075,0,1.2,1.2
I00720,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,183890,*,3200,3200,*,1.7,1.7
I00720,RPA,MEDWAY NHS FOUNDATION TRUST,52865,0,1025,1025,0,1.9,1.9
I00720,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,165850,545,2525,2725,0.3,1.5,1.6
I00720,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,50255,0,655,655,0,1.3,1.3
I00720,RXF,MID YORKSHIRE TEACHING NHS TRUST,79265,0,1480,1480,0,1.9,1.9
I00720,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,49760,0,960,960,0,1.9,1.9
I00720,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,71745,10,2485,2485,0,3.5,3.5
I00720,RVJ,NORTH BRISTOL NHS TRUST,88470,0,1345,1345,0,1.5,1.5
I00720,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,42305,130,1005,1020,0.3,2.4,2.4
I00720,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,32350,0,830,830,0,2.6,2.6
