INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SPELLS,ELECTIVE_SPELLS,NON_ELECTIVE_SPELLS,PRE_PANDEMIC_SPELLS,PRE_PANDEMIC_ELECTIVE_SPELLS,PRE_PANDEMIC_NON_ELECTIVE_SPELLS,OVERALL_RATE,ELECTIVE_RATE,NON_ELECTIVE_RATE
I02040,ENG,"ENGLAND",8491867,954471,7537396,9436012,1220372,8215640,90,78,92
I02040,RCF,"AIREDALE NHS FOUNDATION TRUST",31470,1995,29475,33765,2415,31345,93,83,94
I02040,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",44740,5290,39455,45360,7090,38270,99,75,103
I02040,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",77775,6810,70965,84730,8045,76685,92,85,93
I02040,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",44290,3615,40675,49130,3715,45415,90,97,90
I02040,R1H,"BARTS HEALTH NHS TRUST",137795,16910,120885,176855,21650,155205,78,78,78
I02040,RC9,"BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST",106060,10330,95730,121255,9875,111380,87,105,86
I02040,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",52850,5590,47260,56120,6265,49850,94,89,95
I02040,RMC,"BOLTON NHS FOUNDATION TRUST",56755,4220,52535,61190,4345,56845,93,97,92
I02040,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",76595,3480,73110,96415,6975,89440,79,50,82
I02040,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",59485,4290,55190,63935,5590,58350,93,77,95
I02040,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",60395,4260,56135,71130,5640,65485,85,76,86
I02040,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",62610,12185,50425,75815,14990,60825,83,81,83
I02040,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",88955,6370,82585,98030,7890,90140,91,81,92
I02040,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",49790,2940,46850,51645,3980,47665,96,74,98
I02040,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",46155,5925,40230,49070,4410,44660,94,134,90
I02040,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",84135,4960,79170,80970,5860,75115,104,85,105
I02040,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",29105,3310,25795,35710,3030,32680,82,109,79
I02040,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",55070,6905,48165,57055,10475,46580,97,66,103
I02040,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",59030,7290,51735,74005,9525,64480,80,77,80
I02040,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",26975,2465,24510,29015,3270,25740,93,75,95
I02040,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",51955,5950,46005,68715,7180,61535,76,83,75
I02040,RJN,"EAST CHESHIRE NHS TRUST",13350,895,12460,20070,1470,18600,67,61,67
I02040,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",101680,10155,91530,110485,13620,96865,92,75,94
I02040,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",84465,10045,74420,90355,10370,79985,93,97,93
I02040,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",101065,11150,89915,111440,12435,99005,91,90,91
I02040,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",60280,4890,55390,64720,5755,58970,93,85,94
I02040,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",41175,7720,33455,63995,8490,55505,64,91,60
I02040,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",102365,12135,90230,126640,15825,110815,81,77,81
I02040,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",32380,2995,29385,32900,4005,28895,98,75,102
I02040,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",24475,1660,22815,24065,2075,21990,102,80,104
I02040,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",101750,12230,89515,94335,15755,78580,108,78,114
I02040,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",56585,5585,50995,62735,7275,55460,90,77,92
I02040,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",100635,35230,65405,97350,28605,68745,103,123,95
I02040,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",71195,6355,64840,69125,7085,62045,103,90,105
I02040,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",24875,2335,22540,28450,3485,24965,87,67,90
I02040,RQX,"HOMERTON HEALTHCARE NHS FOUNDATION TRUST",42450,2135,40315,45625,3200,42425,93,67,95
I02040,RWA,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",68980,10770,58210,85630,15780,69845,81,68,83
I02040,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",96445,17970,78475,111445,18890,92555,87,95,85
I02040,R1F,"ISLE OF WIGHT NHS TRUST",19325,1960,17365,18270,1890,16380,106,104,106
I02040,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",30100,2940,27160,34000,3735,30265,89,79,90
I02040,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",45400,3625,41775,51470,4430,47040,88,82,89
I02040,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",94255,15760,78495,113565,24030,89535,83,66,88
I02040,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",58665,2345,56320,62265,3930,58340,94,60,97
I02040,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",73830,11520,62310,79350,11205,68145,93,103,91
I02040,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",97190,21280,75910,120875,23970,96905,80,89,78
I02040,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",86465,4075,82390,92655,4510,88140,93,90,93
I02040,REM,"LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",89580,12240,77340,117055,13930,103125,77,88,75
I02040,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",100750,7195,93555,106020,9565,96455,95,75,97
I02040,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",81080,6750,74330,78355,7090,71270,103,95,104
I02040,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",191280,25405,165875,177400,30650,146750,108,83,113
I02040,RPA,"MEDWAY NHS FOUNDATION TRUST",57330,4135,53195,55520,5185,50335,103,80,106
I02040,RAJ,"MID AND SOUTH ESSEX NHS FOUNDATION TRUST",178185,17310,160875,192960,19435,173525,92,89,93
I02040,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",53485,3205,50280,52430,3135,49295,102,102,102
I02040,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",80880,5475,75405,93450,7325,86125,87,75,88
I02040,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",49205,2920,46285,43445,3590,39855,113,81,116
I02040,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",74925,10065,64860,90635,12900,77740,83,78,83
I02040,RVJ,"NORTH BRISTOL NHS TRUST",84435,8615,75820,92215,11130,81085,92,77,94
I02040,RNN,"NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST",44470,4060,40410,47125,4440,42690,94,91,95
I02040,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",35585,1780,33805,48540,1790,46750,73,99,72
I02040,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",52725,4925,47800,60030,5385,54645,88,91,87
