INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SPELLS,ELECTIVE_SPELLS,NON_ELECTIVE_SPELLS,PRE_PANDEMIC_SPELLS,PRE_PANDEMIC_ELECTIVE_SPELLS,PRE_PANDEMIC_NON_ELECTIVE_SPELLS,OVERALL_RATE,ELECTIVE_RATE,NON_ELECTIVE_RATE
I02040,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",75270,5145,70120,83265,9665,73600,90,53,95
I02040,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",70335,6660,63675,75925,8450,67475,93,79,94
I02040,RM3,"NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST",111730,11900,99830,181265,18685,162575,62,64,61
I02040,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",60415,5055,55360,59575,6870,52705,101,74,105
I02040,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",88210,5935,82275,83040,6585,76455,106,90,108
I02040,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",136990,17445,119545,140285,20175,120110,98,86,100
I02040,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",117895,16480,101415,121005,19760,101245,97,83,100
I02040,RHU,"PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST",83830,10240,73585,83795,10695,73095,100,96,101
I02040,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",65785,6930,58855,69090,6660,62430,95,104,94
I02040,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",59345,8325,51025,70670,9325,61345,84,89,83
I02040,RH8,"ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST",90015,12275,77740,92005,16365,75635,98,75,103
I02040,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",100295,12325,87970,114020,13335,100685,88,92,87
I02040,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",49980,5940,44040,50485,7220,43265,99,82,102
I02040,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",58055,4610,53445,63570,5060,58510,91,91,91
I02040,RNZ,"SALISBURY NHS FOUNDATION TRUST",34360,3050,31310,38100,5275,32825,90,58,95
I02040,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",58380,5980,52400,70675,6845,63835,83,87,82
I02040,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",103590,17640,85945,116555,23795,92765,89,74,93
I02040,RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",59300,3690,55610,60535,5355,55180,98,69,101
I02040,RH5,"SOMERSET NHS FOUNDATION TRUST",49040,4655,44380,58710,7935,50775,84,59,87
I02040,RTR,"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",78365,16265,62100,86170,16935,69235,91,96,90
I02040,R0B,"SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST",76190,10070,66120,80425,12390,68035,95,81,97
I02040,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",40155,3380,36775,36650,3855,32795,110,88,112
I02040,RVY,"SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST",33780,2120,31660,39080,2225,36855,86,95,86
I02040,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",64200,11290,52910,88990,15030,73965,72,75,72
I02040,RBN,"ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST",74135,5700,68435,79250,6555,72695,94,87,94
I02040,RWJ,"STOCKPORT NHS FOUNDATION TRUST",52585,4050,48535,55405,6300,49105,95,64,99
I02040,RTP,"SURREY AND SUSSEX HEALTHCARE NHS TRUST",48840,4455,44385,54580,4910,49665,89,91,89
I02040,RMP,"TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST",35570,1940,33630,33855,2380,31475,105,82,107
I02040,RNA,"THE DUDLEY GROUP NHS FOUNDATION TRUST",58620,5070,53550,63005,5750,57255,93,88,94
I02040,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",36100,2775,33325,41260,3150,38110,87,88,87
I02040,RTD,"THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST",103890,20125,83760,113230,26400,86835,92,76,96
I02040,RQW,"THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST",51105,2910,48190,56600,3890,52710,90,75,91
I02040,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",44895,3000,41895,50735,5240,45495,88,57,92
I02040,RFR,"THE ROTHERHAM NHS FOUNDATION TRUST",42410,4320,38090,35725,5345,30385,119,81,125
I02040,RL4,"THE ROYAL WOLVERHAMPTON NHS TRUST",90310,6605,83705,71310,7240,64070,127,91,131
I02040,RXW,"THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",67040,3940,63100,75010,5570,69445,89,71,91
I02040,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",42230,2700,39525,46415,3800,42615,91,71,93
I02040,RWD,"UNITED LINCOLNSHIRE HOSPITALS NHS TRUST",72005,6505,65505,82985,8540,74450,87,76,88
I02040,RRV,"UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",65600,29815,35785,106065,66710,39360,62,45,91
I02040,RHM,"UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",90600,16710,73890,97825,19265,78560,93,87,94
I02040,RRK,"UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST",196505,22055,174450,267720,55745,211975,73,40,82
I02040,RA7,"UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST",84155,10570,73580,100130,14940,85190,84,71,86
I02040,RKB,"UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST",101415,11560,89855,99360,13020,86345,102,89,104
I02040,R0D,"UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST",89920,10570,79345,103110,13190,89920,87,80,88
I02040,RTG,"UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST",126705,12845,113860,136760,16285,120475,93,79,95
I02040,RWE,"UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST",137180,15290,121890,160030,20545,139485,86,74,87
I02040,RTX,"UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST",48300,4485,43815,51875,5310,46565,93,84,94
I02040,RJE,"UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST",124065,11065,113000,148145,14395,133750,84,77,84
I02040,RK9,"UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST",66325,8210,58115,75285,12625,62660,88,65,93
I02040,RYR,"UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST",136660,15190,121470,150595,16815,133780,91,90,91
I02040,RBK,"WALSALL HEALTHCARE NHS TRUST",62620,4575,58045,49610,3775,45835,126,121,127
I02040,RWW,"WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST",35715,4805,30910,48875,4095,44780,73,117,69
I02040,RWG,"WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST",62080,5400,56680,64040,6830,57210,97,79,99
I02040,RGR,"WEST SUFFOLK NHS FOUNDATION TRUST",33750,2390,31360,37240,3520,33720,91,68,93
I02040,RKE,"WHITTINGTON HEALTH NHS TRUST",23330,1355,21975,24945,2290,22650,94,59,97
I02040,RBL,"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",61495,5845,55650,65445,6960,58485,94,84,95
I02040,RWP,"WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST",70080,5835,64245,76045,8265,67780,92,71,95
I02040,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",42340,5805,36530,46605,7560,39050,91,77,94
I02040,RLQ,"WYE VALLEY NHS TRUST",28600,2910,25690,33065,4115,28950,86,71,89
I02040,RA4,"YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST",28935,2505,26425,30785,3050,27735,94,82,95
I02040,RCB,"YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST",84990,6225,78765,92320,7955,84365,92,78,93
