INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,PRE_EXCLUSION_SPELLS,COVID19_SPELLS,POST_EXCLUSION_SPELLS,EXCLUSION_RATE
I02039,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",51105,1125,49980,2.2
I02039,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",59855,1795,58055,3.0
I02039,RNZ,"SALISBURY NHS FOUNDATION TRUST",35025,665,34360,1.9
I02039,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",62080,3700,58380,6.0
I02039,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",107260,3670,103590,3.4
I02039,RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",61540,2240,59300,3.6
I02039,RH5,"SOMERSET NHS FOUNDATION TRUST",50425,1385,49040,2.7
I02039,RTR,"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",80925,2560,78365,3.2
I02039,R0B,"SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST",79435,3245,76190,4.1
I02039,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",41105,950,40155,2.3
I02039,RVY,"SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST",34830,1050,33780,3.0
I02039,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",66410,2210,64200,3.3
I02039,RBN,"ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST",76250,2115,74135,2.8
I02039,RWJ,"STOCKPORT NHS FOUNDATION TRUST",54510,1925,52585,3.5
I02039,RTP,"SURREY AND SUSSEX HEALTHCARE NHS TRUST",50445,1605,48840,3.2
I02039,RMP,"TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST",37065,1495,35570,4.0
I02039,RNA,"THE DUDLEY GROUP NHS FOUNDATION TRUST",60525,1905,58620,3.1
I02039,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",37305,1205,36100,3.2
I02039,RTD,"THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST",106910,3025,103890,2.8
I02039,RQW,"THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST",52315,1215,51105,2.3
I02039,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",46135,1240,44895,2.7
I02039,RFR,"THE ROTHERHAM NHS FOUNDATION TRUST",44355,1945,42410,4.4
I02039,RL4,"THE ROYAL WOLVERHAMPTON NHS TRUST",93085,2775,90310,3.0
I02039,RXW,"THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",68920,1880,67040,2.7
I02039,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",43335,1105,42230,2.5
I02039,RWD,"UNITED LINCOLNSHIRE HOSPITALS NHS TRUST",74265,2260,72005,3.0
I02039,RRV,"UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",67350,1750,65600,2.6
I02039,RHM,"UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",92925,2320,90600,2.5
I02039,RRK,"UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST",205150,8645,196505,4.2
I02039,RA7,"UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST",86900,2745,84155,3.2
I02039,RKB,"UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST",103830,2415,101415,2.3
I02039,R0D,"UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST",92415,2500,89920,2.7
I02039,RTG,"UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST",130635,3930,126705,3.0
I02039,RWE,"UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST",143160,5980,137180,4.2
I02039,RTX,"UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST",49975,1675,48300,3.4
I02039,RJE,"UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST",127685,3620,124065,2.8
I02039,RK9,"UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST",68100,1775,66325,2.6
I02039,RYR,"UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST",140525,3865,136660,2.8
I02039,RBK,"WALSALL HEALTHCARE NHS TRUST",64505,1885,62620,2.9
I02039,RWW,"WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST",37350,1635,35715,4.4
I02039,RWG,"WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST",64060,1980,62080,3.1
I02039,RGR,"WEST SUFFOLK NHS FOUNDATION TRUST",35095,1345,33750,3.8
I02039,RKE,"WHITTINGTON HEALTH NHS TRUST",24465,1135,23330,4.6
I02039,RBL,"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",63355,1860,61495,2.9
I02039,RWP,"WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST",72890,2810,70080,3.9
I02039,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",43910,1570,42340,3.6
I02039,RLQ,"WYE VALLEY NHS TRUST",29340,740,28600,2.5
I02039,RA4,"YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST",29825,890,28935,3.0
I02039,RCB,"YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST",87620,2630,84990,3.0
