INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,PRE_EXCLUSION_SPELLS,COVID19_SPELLS,POST_EXCLUSION_SPELLS,EXCLUSION_RATE
I02039,ENG,"ENGLAND",8780371,288504,8491867,3.3
I02039,RCF,"AIREDALE NHS FOUNDATION TRUST",32570,1100,31470,3.4
I02039,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",46215,1470,44740,3.2
I02039,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",80810,3035,77775,3.8
I02039,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",46625,2335,44290,5.0
I02039,R1H,"BARTS HEALTH NHS TRUST",143045,5250,137795,3.7
I02039,RC9,"BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST",110305,4245,106060,3.8
I02039,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",55100,2250,52850,4.1
I02039,RMC,"BOLTON NHS FOUNDATION TRUST",59205,2450,56755,4.1
I02039,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",79390,2800,76595,3.5
I02039,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",60865,1385,59485,2.3
I02039,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",62925,2525,60395,4.0
I02039,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",64310,1700,62610,2.6
I02039,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",91560,2600,88955,2.8
I02039,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",51255,1465,49790,2.9
I02039,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",47525,1370,46155,2.9
I02039,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",87565,3430,84135,3.9
I02039,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",31090,1990,29105,6.4
I02039,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",56595,1525,55070,2.7
I02039,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",61295,2270,59030,3.7
I02039,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",27555,580,26975,2.1
I02039,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",53715,1760,51955,3.3
I02039,RJN,"EAST CHESHIRE NHS TRUST",14175,825,13350,5.8
I02039,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",104325,2645,101680,2.5
I02039,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",87525,3060,84465,3.5
I02039,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",103885,2820,101065,2.7
I02039,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",62070,1790,60280,2.9
I02039,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",43075,1900,41175,4.4
I02039,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",105565,3200,102365,3.0
I02039,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",33810,1430,32380,4.2
I02039,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",25410,935,24475,3.7
I02039,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",104315,2565,101750,2.5
I02039,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",59005,2420,56585,4.1
I02039,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",103235,2600,100635,2.5
I02039,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",73100,1910,71195,2.6
I02039,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",25695,820,24875,3.2
I02039,RQX,"HOMERTON HEALTHCARE NHS FOUNDATION TRUST",44280,1835,42450,4.1
I02039,RWA,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",71375,2395,68980,3.4
I02039,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",99650,3205,96445,3.2
I02039,R1F,"ISLE OF WIGHT NHS TRUST",20000,675,19325,3.4
I02039,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",31155,1055,30100,3.4
I02039,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",46800,1400,45400,3.0
I02039,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",97775,3520,94255,3.6
I02039,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",60325,1660,58665,2.8
I02039,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",76290,2460,73830,3.2
I02039,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",101680,4490,97190,4.4
I02039,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",89545,3080,86465,3.4
I02039,REM,"LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",94120,4540,89580,4.8
I02039,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",104815,4065,100750,3.9
I02039,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",82815,1735,81080,2.1
I02039,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",198225,6945,191280,3.5
I02039,RPA,"MEDWAY NHS FOUNDATION TRUST",58695,1370,57330,2.3
I02039,RAJ,"MID AND SOUTH ESSEX NHS FOUNDATION TRUST",182810,4625,178185,2.5
I02039,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",54925,1440,53485,2.6
I02039,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",84710,3830,80880,4.5
I02039,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",50680,1475,49205,2.9
I02039,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",77015,2095,74925,2.7
I02039,RVJ,"NORTH BRISTOL NHS TRUST",87065,2630,84435,3.0
I02039,RNN,"NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST",45890,1420,44470,3.1
I02039,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",37455,1870,35585,5.0
I02039,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",54680,1955,52725,3.6
I02039,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",77715,2445,75270,3.1
I02039,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",72615,2280,70335,3.1
I02039,RM3,"NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST",116895,5160,111730,4.4
I02039,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",62100,1685,60415,2.7
I02039,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",91230,3020,88210,3.3
I02039,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",142340,5355,136990,3.8
I02039,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",120845,2950,117895,2.4
I02039,RHU,"PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST",88040,4210,83830,4.8
I02039,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",67810,2025,65785,3.0
I02039,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",60820,1475,59345,2.4
I02039,RH8,"ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST",92655,2640,90015,2.8
I02039,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",103340,3045,100295,2.9
