INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL
I00699,RCF,"AIREDALE NHS FOUNDATION TRUST",0.9505,2,31470,940,990.0000,0.9046,1.1022,0.8866,1.1279
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",0.8990,2,44740,1435,1595.0000,0.9244,1.0798,0.8922,1.1209
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",0.8535,3,77775,2190,2565.0000,0.9401,1.0625,0.8958,1.1163
I00699,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1.0222,2,44290,1380,1350.0000,0.9180,1.0870,0.8905,1.1230
I00699,R1H,"BARTS HEALTH NHS TRUST",0.9568,2,137795,2920,3055.0000,0.9450,1.0572,0.8968,1.1151
I00699,RC9,"BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST",1.0718,2,106060,2590,2420.0000,0.9383,1.0644,0.8954,1.1168
I00699,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",1.0842,2,52850,2020,1860.0000,0.9299,1.0737,0.8935,1.1192
I00699,RMC,"BOLTON NHS FOUNDATION TRUST",1.0840,2,56755,1550,1430.0000,0.9202,1.0845,0.8911,1.1222
I00699,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1.0307,2,76595,1535,1485.0000,0.9218,1.0827,0.8915,1.1217
I00699,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",0.9742,2,59485,1530,1570.0000,0.9238,1.0805,0.8920,1.1211
I00699,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",1.0467,2,60395,2120,2025.0000,0.9328,1.0706,0.8942,1.1183
I00699,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.9107,2,62610,2005,2200.0000,0.9354,1.0676,0.8948,1.1176
I00699,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",0.6964,3,88955,1285,1850.0000,0.9297,1.0740,0.8935,1.1192
I00699,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",0.9579,2,49790,1600,1670.0000,0.9260,1.0780,0.8926,1.1203
I00699,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",0.9591,2,46155,1210,1265.0000,0.9153,1.0901,0.8897,1.1240
I00699,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",1.0885,2,84135,2885,2650.0000,0.9411,1.0615,0.8960,1.1161
I00699,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1.0230,2,29105,1005,980.0000,0.9042,1.1027,0.8864,1.1281
I00699,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1.0619,2,55070,1390,1305.0000,0.9167,1.0885,0.8901,1.1235
I00699,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",1.1545,1,59030,2305,2000.0000,0.9323,1.0711,0.8941,1.1185
I00699,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1.1328,1,26975,1120,990.0000,0.9046,1.1023,0.8865,1.1280
I00699,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",0.8982,2,51955,1840,2045.0000,0.9331,1.0702,0.8943,1.1182
I00699,RJN,"EAST CHESHIRE NHS TRUST",1.1482,1,13350,750,650.0000,0.8833,1.1271,0.8794,1.1371
I00699,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",0.9981,2,101680,3250,3255.0000,0.9467,1.0554,0.8971,1.1147
I00699,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",1.0493,2,84465,2375,2265.0000,0.9363,1.0667,0.8950,1.1173
I00699,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",1.0782,2,101065,3910,3625.0000,0.9495,1.0524,0.8976,1.1141
I00699,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",0.9833,2,60280,2370,2410.0000,0.9382,1.0645,0.8954,1.1168
I00699,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",1.1251,1,41175,1510,1345.0000,0.9178,1.0872,0.8904,1.1231
I00699,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",0.9927,2,102365,3120,3145.0000,0.9458,1.0564,0.8969,1.1149
