INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I02038,ENG,"ENGLAND",86249,8491867,1.0
I02038,RCF,"AIREDALE NHS FOUNDATION TRUST",0,31470,0.0
I02038,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",355,44740,0.8
I02038,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",430,77775,0.6
I02038,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",0,44290,0.0
I02038,R1H,"BARTS HEALTH NHS TRUST",210,137795,0.2
I02038,RC9,"BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST",10,106060,0.0
I02038,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",860,52850,1.6
I02038,RMC,"BOLTON NHS FOUNDATION TRUST",*,56755,*
I02038,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",830,76595,1.1
I02038,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",820,59485,1.4
I02038,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",345,60395,0.6
I02038,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",245,62610,0.4
I02038,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",*,88955,*
I02038,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",0,49790,0.0
I02038,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",335,46155,0.7
I02038,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",3465,84135,4.1
I02038,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",0,29105,0.0
I02038,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",*,55070,*
I02038,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",745,59030,1.3
I02038,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",0,26975,0.0
I02038,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",0,51955,0.0
I02038,RJN,"EAST CHESHIRE NHS TRUST",0,13350,0.0
