INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I01963,ENG,ENGLAND,96177,8305121,1.2
I01963,RCF,AIREDALE NHS FOUNDATION TRUST,0,31155,0
I01963,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,950,57945,1.6
I01963,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",9490,82420,11.5
I01963,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,45,45495,0.1
I01963,R1H,BARTS HEALTH NHS TRUST,630,119460,0.5
I01963,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,55,106190,0.1
I01963,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,70,53545,0.1
I01963,RMC,BOLTON NHS FOUNDATION TRUST,200,53990,0.4
I01963,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,525,79525,0.7
I01963,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,845,61130,1.4
I01963,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,10,60360,0
I01963,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,15,60895,0
I01963,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,845,92225,0.9
I01963,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,5600,52995,10.6
I01963,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,10,40430,0
I01963,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,2005,78225,2.6
I01963,RJ6,CROYDON HEALTH SERVICES NHS TRUST,25,27430,0.1
I01963,RN7,DARTFORD AND GRAVESHAM NHS TRUST,555,52130,1.1
I01963,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,30,60010,0.1
I01963,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1890,25005,7.6
I01963,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,*,48725,*
I01963,RJN,EAST CHESHIRE NHS TRUST,0,12405,0
I01963,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,150,89120,0.2
I01963,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,1290,83325,1.5
I01963,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,1385,95305,1.5
I01963,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,550,55290,1
I01963,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,20,37860,0.1
I01963,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,100,18340,0.5
I01963,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,270,34225,0.8
I01963,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,35,27875,0.1
I01963,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,505,92615,0.5
I01963,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,2315,54215,4.3
I01963,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,175,101075,0.2
I01963,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,110,69185,0.2
I01963,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,25,25365,0.1
I01963,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,115,44125,0.3
I01963,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,2200,80615,2.7
I01963,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,305,95970,0.3
I01963,R1F,ISLE OF WIGHT NHS TRUST,1160,18585,6.2
I01963,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,150,30895,0.5
I01963,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,170,45710,0.4
I01963,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,340,87815,0.4
I01963,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,160,52340,0.3
I01963,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,85,73970,0.1
I01963,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,*,92035,*
I01963,RJ2,LEWISHAM AND GREENWICH NHS TRUST,85,82070,0.1
I01963,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,55,84255,0.1
I01963,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,120,102390,0.1
I01963,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,1515,89510,1.7
I01963,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,1460,183890,0.8
I01963,RPA,MEDWAY NHS FOUNDATION TRUST,100,52865,0.2
I01963,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,2690,165850,1.6
I01963,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,180,50255,0.4
I01963,RXF,MID YORKSHIRE TEACHING NHS TRUST,525,79265,0.7
I01963,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,14585,49760,29.3
I01963,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,75,71745,0.1
I01963,RVJ,NORTH BRISTOL NHS TRUST,315,88470,0.4
I01963,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,0,42305,0
I01963,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,30,32350,0.1
I01963,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,40,56420,0.1
I01963,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,150,73415,0.2
I01963,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,90,72045,0.1
I01963,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,160,115780,0.1
