INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SITE_CODE,SITE_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL,SITE_TYPE,NO_PROVIDERS_AT_SITE,SITE_OWNER,SITE_POSTCODE
I00699,RCF,AIREDALE NHS FOUNDATION TRUST,RCF22,AIREDALE GENERAL HOSPITAL,0.8886,2,31155,910,1025,0.9062,1.1004,0.8425,1.187,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,BD20 6TD
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,RTK02,ASHFORD HOSPITAL,0.2924,3,3545,10,25,0.5112,1.7432,0.6653,1.503,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,TW15 3AA
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,RTK48,RUNNYMEDE HOSPITAL,*,*,10,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,KT16 0RQ
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,RTK01,ST PETER'S HOSPITAL,0.8828,2,53110,1580,1785,0.9285,1.0753,0.8465,1.1813,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,KT16 0PZ
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,RTK76,THE LISTER HOSPITAL,*,*,*,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,SW1W 8RH
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,RTK04,WALTON COMMUNITY HOSPITAL,*,*,*,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,KT12 3LB
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,RTK03,WOKING COMMUNITY HOSPITAL,*,*,35,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,GU22 7HS
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,RTK49,WOKING NUFFIELD HOSPITAL,*,*,*,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,GU21 4BY
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,.,NOT PROVIDED,1.4861,1,1240,55,40,0.5741,1.6065,0.7014,1.4257,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4PP,BARKING HOSPITAL,*,*,*,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,IG11 9LX
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4DG,KING GEORGE HOSPITAL,1.0357,2,16350,885,855,0.8975,1.1104,0.8407,1.1896,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,IG3 8YB
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4QH,QUEEN'S HOSPITAL,0.9111,2,65800,1645,1805,0.9288,1.0749,0.8465,1.1813,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,RM7 0AG
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4BM,NOT PROVIDED,*,*,*,0,*,*,*,*,*,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4TC,NOT PROVIDED,*,*,255,0,*,*,*,*,*,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
I00699,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,RFFAA,BARNSLEY HOSPITAL,1.0229,2,45495,1485,1455,0.9209,1.0837,0.8452,1.1831,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,S75 2EP
I00699,R1H,BARTS HEALTH NHS TRUST,R1H41,BARKING BIRTH CENTRE,*,*,145,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,IG11 9LX
I00699,R1H,BARTS HEALTH NHS TRUST,R1H90,BLT BIRTH CENTRE,*,*,170,0,*,*,*,*,*,DENTISTS,ONE,TRUST,E14 8JH
I00699,R1H,BARTS HEALTH NHS TRUST,R1H86,BLT PRIVATE HOSPITALS,*,*,100,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,E1 1BB
I00699,R1H,BARTS HEALTH NHS TRUST,DQM02,CLEVELAND CLINIC LONDON (GROSVENOR PLACE),*,*,*,0,*,*,*,*,*,UNDETERMINED,ONE,PRIVATE,SW1X 7HY
I00699,R1H,BARTS HEALTH NHS TRUST,R1H11,GATEWAY SURGICAL CENTRE,*,*,1055,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,MULTIPLE,TRUST,E13 8SL
I00699,R1H,BARTS HEALTH NHS TRUST,NW603,LISTER HOSPITAL,*,*,10,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,SW1W 8RH
I00699,R1H,BARTS HEALTH NHS TRUST,R1HED,MILE END EARLY DIAGNOSIS CENTRE,*,*,35,0,*,*,*,*,*,UNDETERMINED,ONE,TRUST,E1 4DG
I00699,R1H,BARTS HEALTH NHS TRUST,R1H13,MILE END HOSPITAL,*,*,20,0,*,*,*,*,*,MENTAL HEALTH - COMMUNITY & RESIDENTIAL - NHS,ONE,TRUST,E1 4DG
I00699,R1H,BARTS HEALTH NHS TRUST,R1HNH,NEWHAM GENERAL HOSPITAL,1.0648,2,23430,590,555,0.8739,1.1382,0.8349,1.1977,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,E13 8SL
I00699,R1H,BARTS HEALTH NHS TRUST,U9C3Y,NUFFIELD HEALTH AT ST BARTHOLOMEW'S HOSPITAL,*,*,120,0,*,*,*,*,*,UNDETERMINED,ONE,PRIVATE,EC1A 7BS
I00699,R1H,BARTS HEALTH NHS TRUST,R1HM0,ST BARTHOLOMEW'S HOSPITAL,0.9749,2,11725,420,430,0.8577,1.158,0.8304,1.2042,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,EC1A 7BE
I00699,R1H,BARTS HEALTH NHS TRUST,NW608,THE HARLEY STREET CLINIC (WEYMOUTH ST),*,*,20,0,*,*,*,*,*,UNDETERMINED,ONE,PRIVATE,W1G 8BJ
I00699,R1H,BARTS HEALTH NHS TRUST,R1H12,THE ROYAL LONDON HOSPITAL,0.9392,2,49985,1075,1145,0.9111,1.0948,0.8435,1.1856,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,E1 1BB
I00699,R1H,BARTS HEALTH NHS TRUST,R1HKH,WHIPPS CROSS UNIVERSITY HOSPITAL,1.0077,2,32585,1060,1055,0.9075,1.0989,0.8427,1.1866,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,E11 1NR
I00699,R1H,BARTS HEALTH NHS TRUST,8A718,NOT PROVIDED,*,*,25,0,*,*,*,*,*,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
I00699,R1H,BARTS HEALTH NHS TRUST,NW600,NOT PROVIDED,*,*,30,0,*,*,*,*,*,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
I00699,R1H,BARTS HEALTH NHS TRUST,.,NOT PROVIDED,*,*,*,0,*,*,*,*,*,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
I00699,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,RC979,BEDFORD HOSPITAL SOUTH WING,1.1493,2,30655,1255,1095,0.9092,1.097,0.8431,1.1861,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,MK42 9DJ
I00699,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,NT423,BMI - THE MANOR HOSPITAL,*,*,*,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,MK40 4AW
I00699,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,RC971,LUTON & DUNSTABLE HOSPITAL,1.0048,2,75460,1570,1560,0.9236,1.0807,0.8457,1.1824,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,LU4 0DZ
I00699,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,NVC15,PINEHILL HOSPITAL,*,*,15,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,SG4 9QZ
I00699,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,NT316,SPIRE HARPENDEN HOSPITAL,*,*,55,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,AL5 4BP
I00699,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,RXL01,BLACKPOOL VICTORIA HOSPITAL,1.0038,2,53415,2000,1995,0.9322,1.0711,0.8471,1.1805,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,FY3 8NR
I00699,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,RXL06,CLIFTON HOSPITAL,*,*,95,*,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,FY8 1PB
I00699,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,A4M4V,SPIRE HEALTHCARE,*,*,40,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,FY3 8BP
I00699,RMC,BOLTON NHS FOUNDATION TRUST,RMC01,ROYAL BOLTON HOSPITAL,1.0973,2,53990,1480,1350,0.918,1.087,0.8447,1.1838,ACUTE HOSPITAL - NHS NON-SPECIALIST,MULTIPLE,TRUST,BL4 0JR
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,RAE01,BRADFORD ROYAL INFIRMARY,1.0525,2,46395,1210,1150,0.9114,1.0945,0.8435,1.1855,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,BD9 6RJ
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,RAE02,BRADFORD ROYAL INFIRMARY WOMEN'S UNIT,1.5569,2,26425,30,20,0.4329,1.9433,0.6178,1.6185,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,BD9 6RJ
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,RAE4H,ECCLESHILL COMMUNITY HOSPITAL,*,*,20,0,*,*,*,*,*,COMMUNITY HEALTH - NHS & INDEPENDENT,ONE,TRUST,BD10 0JE
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,Y3F5U,NUFFIELD HEALTH LEEDS HOSPITAL,*,*,15,0,*,*,*,*,*,UNDETERMINED,MULTIPLE,TRUST,LS1 3EB
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,RAE05,ST LUKES HOSPITAL,*,*,35,*,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,BD5 0NA
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,RAE6H,THE YORKSHIRE CLINIC,*,*,10,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,BD16 1TW
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,RAE5H,WESTBOURNE GREEN COMMUNITY HOSPITAL,*,*,20,*,*,*,*,*,*,COMMUNITY HEALTH - NHS & INDEPENDENT,ONE,TRUST,BD8 8RA
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,B5I2E,WESTCLIFFE HEALTH INNOVATIONS,*,*,10,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,BD10 0EP
