INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL
I00699,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,1.0648,2,80615,3060,2875,0.9434,1.059,0.8926,1.1204
I00699,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,0.7625,3,95970,2005,2630,0.9408,1.0618,0.8921,1.121
I00699,R1F,ISLE OF WIGHT NHS TRUST,0.9466,2,18585,890,940,0.9023,1.1048,0.8824,1.1333
I00699,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1.075,2,30895,1425,1325,0.9173,1.0878,0.8866,1.1279
I00699,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,1.0682,2,45710,1665,1560,0.9236,1.0808,0.8882,1.1258
I00699,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,0.9898,2,87815,2685,2710,0.9417,1.0608,0.8922,1.1208
I00699,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,0.801,3,52340,1015,1265,0.9154,1.0899,0.8861,1.1285
I00699,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,0.9499,2,73970,2140,2255,0.9362,1.0668,0.8911,1.1222
I00699,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,1.1268,1,92035,3590,3185,0.9461,1.056,0.8931,1.1197
I00699,RJ2,LEWISHAM AND GREENWICH NHS TRUST,0.9621,2,82070,2180,2265,0.9363,1.0667,0.8911,1.1221
I00699,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1.0711,2,84255,3725,3480,0.9484,1.0535,0.8935,1.1192
I00699,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,0.7896,3,102390,2220,2815,0.9427,1.0596,0.8924,1.1205
I00699,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,0.9129,2,89510,2270,2485,0.9392,1.0635,0.8917,1.1214
I00699,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,1.0676,2,183890,4065,3805,0.9507,1.0511,0.8938,1.1188
I00699,RPA,MEDWAY NHS FOUNDATION TRUST,1.1388,1,52865,1705,1495,0.922,1.0825,0.8878,1.1263
