INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,MEAN,MAXIMUM
I01965,ENG,"ENGLAND",5.6750,19
I01965,RCF,"AIREDALE NHS FOUNDATION TRUST",5.1209,13
I01965,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",4.8744,11
I01965,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",6.0640,19
I01965,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",6.9154,19
I01965,R1H,"BARTS HEALTH NHS TRUST",7.8209,19
I01965,RC9,"BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST",5.3072,19
I01965,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",6.9605,19
I01965,RMC,"BOLTON NHS FOUNDATION TRUST",5.7711,19
I01965,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",5.6215,15
I01965,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",5.8091,19
I01965,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",4.9460,19
I01965,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",4.0197,19
I01965,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",4.5664,19
I01965,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",5.2017,19
I01965,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",2.8174,19
I01965,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",5.7747,19
I01965,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",3.9725,19
I01965,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",3.9551,19
I01965,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",4.1341,19
I01965,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",5.3874,19
I01965,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",4.6409,19
I01965,RJN,"EAST CHESHIRE NHS TRUST",6.0000,12
I01965,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",5.9148,19
I01965,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",4.9522,13
I01965,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",5.5891,19
I01965,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",5.6570,19
