INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,MEAN,MAXIMUM
I01965,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",6.3270,19
I01965,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",4.3067,19
I01965,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",5.3740,13
I01965,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",4.5024,19
I01965,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",4.7737,19
I01965,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",4.9640,13
I01965,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",6.8141,19
I01965,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",4.9255,19
I01965,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",4.5017,12
I01965,RQX,"HOMERTON HEALTHCARE NHS FOUNDATION TRUST",6.0754,19
I01965,RWA,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",6.7236,19
I01965,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",7.1785,19
I01965,R1F,"ISLE OF WIGHT NHS TRUST",5.4498,13
I01965,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",6.1261,19
I01965,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",4.1693,19
I01965,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",6.7659,19
I01965,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",5.2245,19
I01965,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",5.8163,19
I01965,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",4.9054,19
I01965,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",3.7339,19
I01965,REM,"LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",5.3928,19
I01965,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",4.9844,19
I01965,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",4.7521,19
I01965,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",5.9216,19
I01965,RPA,"MEDWAY NHS FOUNDATION TRUST",5.7111,19
I01965,RAJ,"MID AND SOUTH ESSEX NHS FOUNDATION TRUST",5.0339,19
I01965,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",5.9058,19
I01965,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",5.8150,19
I01965,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",4.8350,19
I01965,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",4.9711,19
I01965,RVJ,"NORTH BRISTOL NHS TRUST",5.9480,19
I01965,RNN,"NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST",4.2428,13
I01965,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",4.8657,19
I01965,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",6.4898,19
I01965,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",3.8789,19
I01965,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",4.3622,19
I01965,RM3,"NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST",5.9972,13
I01965,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",5.8055,19
I01965,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",4.6779,19
I01965,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",7.3064,19
I01965,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",7.3293,19
I01965,RHU,"PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST",5.8698,19
I01965,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",3.6015,19
I01965,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",4.0375,12
I01965,RH8,"ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST",5.0646,19
I01965,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",6.0656,19
I01965,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",7.0273,19
I01965,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",4.3739,19
I01965,RNZ,"SALISBURY NHS FOUNDATION TRUST",4.7088,19
I01965,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",4.8977,19
I01965,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",5.5775,19
I01965,RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",5.5194,19
I01965,RH5,"SOMERSET NHS FOUNDATION TRUST",5.3833,19
I01965,RTR,"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",4.5876,13
I01965,R0B,"SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST",5.4253,19
I01965,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",4.6582,19
I01965,RVY,"SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST",4.3459,19
I01965,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",5.4344,19
I01965,RBN,"ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST",6.1682,19
I01965,RWJ,"STOCKPORT NHS FOUNDATION TRUST",4.8859,19
I01965,RTP,"SURREY AND SUSSEX HEALTHCARE NHS TRUST",6.3890,19
I01965,RMP,"TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST",6.5731,19
I01965,RNA,"THE DUDLEY GROUP NHS FOUNDATION TRUST",5.6120,19
I01965,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",3.4198,19
I01965,RTD,"THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST",6.3284,19
I01965,RQW,"THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST",4.7682,19
I01965,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",3.6154,13
I01965,RFR,"THE ROTHERHAM NHS FOUNDATION TRUST",7.9637,19
I01965,RL4,"THE ROYAL WOLVERHAMPTON NHS TRUST",8.3708,19
I01965,RXW,"THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",5.2749,19
I01965,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",5.9197,12
I01965,RWD,"UNITED LINCOLNSHIRE HOSPITALS NHS TRUST",5.8313,19
I01965,RRV,"UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",7.5257,13
I01965,RHM,"UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",6.9898,19
I01965,RRK,"UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST",6.4006,19
I01965,RA7,"UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST",5.2829,19
I01965,RKB,"UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST",4.0510,19
I01965,R0D,"UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST",3.9171,19
I01965,RTG,"UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST",5.5011,19
I01965,RWE,"UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST",5.0106,19
I01965,RTX,"UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST",6.2977,19
I01965,RJE,"UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST",6.7574,19
I01965,RK9,"UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST",6.5217,19
I01965,RYR,"UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST",5.1924,19
I01965,RBK,"WALSALL HEALTHCARE NHS TRUST",6.6677,19
I01965,RWW,"WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST",7.8042,19
I01965,RWG,"WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST",5.0226,19
I01965,RGR,"WEST SUFFOLK NHS FOUNDATION TRUST",5.2159,19
I01965,RKE,"WHITTINGTON HEALTH NHS TRUST",3.6180,19
I01965,RBL,"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",5.4872,19
I01965,RWP,"WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST",5.1226,19
I01965,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",6.1212,19
I01965,RLQ,"WYE VALLEY NHS TRUST",4.1481,19
I01965,RA4,"YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST",4.2445,19
I01965,RCB,"YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST",4.6337,19
