INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,1,1326.5792,1565.4495,1252.5792,1568.1827,1574.6387,1566.1827,313.6036,36,0,385.0818,36,0,226.66,36,0,84.1719,15.7968,0.0313,840162,0.6838,0.684,0.052,0.8419
I00699,2,277403.7083,277794.7349,277329.7083,306273.092,306283.6603,306271.092,28941.3837,36,0,25251.5202,36,0,18898.9569,36,0,70.3863,29.5249,0.0888,14387749344,0.4086,0.409,0.1425,0.7043
I00699,3,7961.7708,8252.6952,7887.7708,9264.5946,9272.4574,9262.5946,1374.8237,36,0,1241.6736,36,0,667.3429,36,0,78.7867,21.1428,0.0705,22491350,0.5764,0.5768,0.0703,0.7882
I00699,4,2718.2656,2984.8441,2644.2656,3078.5703,3085.7751,3076.5703,432.3047,36,0,408.1767,36,0,236.8118,36,0,79.9253,20.0427,0.032,3422916,0.5988,0.599,0.0415,0.7994
I00699,5,1143.7116,1251.2717,1107.7116,1212.5537,1218.5292,1210.5537,102.8421,17,0,103.5565,17,0,94.2147,17,0,72.6664,26.9457,0.3879,426870,0.4572,0.459,0.0461,0.7286
I00699,6,17394.0637,17785.537,17320.0637,28286.232,28296.8124,28284.232,10964.1683,36,0,26560.5813,36,0,3722.7031,36,0,95.9767,4.0093,0.014,706435450,0.9197,0.9198,0.0154,0.9598
I00699,7,12238.4761,12551.4159,12164.4761,16626.0215,16634.4793,16624.0215,4459.5453,36,0,4814.6792,36,0,2684.6073,36,0,87.1706,12.8045,0.0249,72970240,0.7437,0.7438,0.0895,0.8718
I00699,8,18054.5296,18310.7577,17990.5296,21557.446,21565.4531,21555.446,3564.9163,31,0,3069.9205,31,0,2397.0286,31,0,77.6026,22.3431,0.0543,75656775,0.5526,0.5529,0.1699,0.7763
I00699,9,11084.334,11340.7381,11016.334,13540.2916,13547.8329,13538.2916,2521.9576,33,0,2147.125,33,0,1580.5623,33,0,78.9958,20.956,0.0482,29830310,0.5804,0.5807,0.1786,0.7902
I00699,10,28221.7599,28549.4804,28149.7599,39268.368,39277.4714,39266.368,11116.6081,35,0,10796.0437,35,0,6069.4183,35,0,87.2422,12.7299,0.0279,350397972,0.7451,0.7453,0.1185,0.8726
I00699,11,14271.6164,14563.9496,14203.6164,20600.1847,20608.7827,20598.1847,6394.5683,33,0,6631.5785,33,0,3442.6417,33,0,88.7955,11.1805,0.0239,106311884,0.7761,0.7763,0.1029,0.8881
I00699,12,14044.8127,14336.1376,13970.8127,18805.5936,18813.4672,18803.5936,4832.7809,36,0,4177.9938,36,0,2641.2597,36,0,83.4784,16.4798,0.0418,57688587,0.67,0.6703,0.2051,0.835
I00699,13,23190.8446,23481.4946,23118.8446,27895.7123,27903.7859,27893.7123,4774.8676,35,0,4016.4466,35,0,3125.4695,35,0,76.9973,22.9451,0.0576,112093614,0.5405,0.5408,0.2156,0.7703
I00699,14,8934.5392,9210.9523,8860.5392,11246.8618,11254.3324,11244.8618,2384.3226,36,0,2087.305,36,0,1425.5095,36,0,81.6634,18.2953,0.0413,22187542,0.6337,0.6339,0.1671,0.8168
I00699,15,57340.3504,57677.814,57266.3504,73605.8379,73614.9585,73603.8379,16337.4875,36,0,13187.7495,36,0,8212.1886,36,0,79.9585,19.9828,0.0587,819424998,0.5998,0.6001,0.2154,0.7999
I00699,16,3343.6802,3562.9505,3275.6802,4190.1548,4196.604,4188.1548,912.4747,33,0,786.0782,33,0,500.7739,33,0,81.5582,18.3801,0.0617,3010028,0.6318,0.6322,0.1744,0.8159
I00699,17,5118.4308,5415.2227,5044.4308,8023.9261,8031.9475,8021.9261,2977.4953,36,0,3551.9926,36,0,1396.4881,36,0,92.3381,7.6435,0.0184,20969246,0.8469,0.8471,0.0701,0.9235
I00699,18,13379.7547,13702.0305,13309.7547,24611.3184,24620.5263,24609.3184,11299.5637,34,0,15115.2544,34,0,3640.5831,34,0,94.8462,5.1287,0.0252,207043200,0.8972,0.8974,0.0684,0.9486
I00699,19,4679.0302,4959.8586,4609.0302,8607.6778,8615.7015,8605.6778,3996.6476,34,0,5694.2617,34,0,1669.114,34,0,94.7167,5.2586,0.0247,22967465,0.8946,0.8948,0.0808,0.9473
I00699,20,4579.566,4866.4834,4505.566,6810.6132,6818.3678,6808.6132,2303.0472,36,0,2726.9806,36,0,,35,,91.673,8.3013,0.0257,14017856,0.8337,0.8339,0.0787,0.9169
I00699,21,9001.2927,9282.5888,8929.2927,12166.6879,12174.5017,12164.6879,3235.3952,35,0,3027.8988,35,0,1730.6465,35,0,85.8778,14.0575,0.0648,31013664,0.7182,0.7187,0.1333,0.8591
I00699,22,15275.07,15607.438,15201.07,24850.2307,24859.2136,24848.2307,9647.1607,36,0,10484.4456,36,0,3007.5441,36,0,92.4133,7.5324,0.0544,178007076,0.8488,0.8493,0.0872,0.9244
I00699,23,13426.8988,13764.3471,13352.8988,21862.7033,21871.8236,21860.7033,8507.8045,36,0,12537.9249,36,0,4659.5442,36,0,92.5003,7.4771,0.0226,167116350,0.8502,0.8504,0.0623,0.9251
I00699,24,8785.1565,9093.0887,8711.1565,13431.3423,13439.6648,13429.3423,4718.1859,36,0,5205.8707,36,0,2157.4196,36,0,91.0356,8.939,0.0255,50341564,0.821,0.8212,0.0894,0.9105
I00699,25,12674.6007,12973.8726,12600.6007,15295.5308,15303.6192,15293.5308,2692.9302,36,0,2476.1763,36,0,1633.0806,36,0,80.4051,19.5724,0.0225,50579672,0.6083,0.6085,0.1063,0.8042
I00699,26,926.2134,1169.1981,854.2134,1314.6885,1321.4381,1312.6885,458.4751,35,0,793.1344,35,0,280.4756,35,0,92.6494,7.3401,0.0105,839392,0.8531,0.8532,0.036,0.9265
I00699,27,25573.4446,25907.0197,25499.4446,29911.9245,29920.9401,29909.9245,4410.4799,36,0,4195.2543,36,0,3051.8955,36,0,79.3742,20.6031,0.0228,231308595,0.5877,0.5878,0.0735,0.7939
I00699,28,10872.7445,11134.4517,10808.7445,12971.6184,12979.7967,12969.6184,2160.8739,31,0,2110.0286,31,0,1469.2008,31,0,80.8335,19.1355,0.031,43443102,0.617,0.6172,0.0773,0.8085
I00699,29,3383.4296,3641.4154,3309.4296,5143.7101,5150.6827,5141.7101,1832.2806,36,0,1724.6732,36,0,845.5286,36,0,90.1259,9.8552,0.0188,5616864,0.8027,0.8029,0.1451,0.9014
I00699,30,93175.9771,93534.7268,93101.9771,105958.8931,105968.589,105956.8931,12854.9159,36,0,10536.1334,36,0,7644.4203,36,0,73.0365,26.8906,0.073,1946985480,0.4615,0.4618,0.1246,0.7307
I00699,31,21128.6315,21455.9145,21054.6315,36276.558,36285.4035,36274.558,15219.9265,36,0,14516.0724,36,0,5447.2127,36,0,91.9099,8.067,0.0231,264586245,0.8384,0.8386,0.1686,0.9192
I00699,32,8244.3041,8574.4137,8170.3041,10918.1574,10927.0793,10916.1574,2745.8533,36,0,3571.2424,36,0,1818.6909,36,0,88.8347,11.1503,0.0149,60499900,0.7768,0.777,0.0307,0.8884
I00699,33,4030.8031,4391.1476,3956.8031,5444.6983,5454.4374,5442.6983,1485.8953,36,0,3032.7181,36,0,1213.4916,36,0,91.7746,8.2126,0.0128,50487072,0.8356,0.8357,0.0054,0.9178
I00699,34,5049.6587,5380.2041,4975.6587,6034.581,6043.5147,6032.581,1056.9224,36,0,1331.0421,36,0,543.906,36,0,86.3943,13.5661,0.0396,29635398,0.7283,0.7286,0.0137,0.8641
I00699,35,23410.7218,23763.7499,23336.7218,28683.6702,28693.2115,28681.6702,5344.9483,36,0,6545.4386,36,0,3356.7896,36,0,84.2634,15.6954,0.0413,321380925,0.6857,0.686,0.0416,0.8428
I00699,36,16156.5721,16505.1096,16082.5721,19898.2375,19907.6575,19896.2375,3813.6655,36,0,3987.6893,36,0,1584.7177,36,0,85.3081,14.6529,0.039,185898816,0.7066,0.7068,0.0316,0.8533
I00699,37,72897.4231,73269.2185,72823.4231,78625.5997,78635.6482,78623.5997,5800.1766,36,0,5408.1878,36,0,4302.1797,36,0,71.0925,28.8187,0.0889,1675548846,0.4227,0.4231,0.0485,0.7114
I00699,38,28717.9459,29076.8221,28643.9459,34596.1861,34605.8855,34594.1861,5950.2402,36,0,5992.6752,36,0,3236.5379,36,0,82.9583,17.0021,0.0396,457420680,0.6596,0.6598,0.0416,0.8298
I00699,39,49512.6141,49893.967,49438.6141,54716.9601,54727.2669,54714.9601,5276.346,36,0,4596.478,36,0,3142.9581,36,0,75.5182,24.4151,0.0667,1279290180,0.511,0.5114,0.0267,0.7555
I00699,40,2161.8366,2443.9015,2087.8366,2548.7997,2556.4231,2546.7997,458.9631,36,0,539.8894,36,0,184.6193,36,0,85.0728,14.8847,0.0425,3716000,0.7019,0.7022,0.0228,0.8509
I00699,41,5860.9635,6201.7843,5786.9635,7751.8664,7761.0778,7749.8664,1962.903,36,0,3309.7631,36,0,1374.1328,36,0,90.2776,9.7077,0.0147,49980370,0.8057,0.8058,0.0147,0.9028
I00699,42,77220.0555,77577.4093,77146.0555,79369.297,79378.9552,79367.297,2221.2415,36,0,1986.017,36,0,1708.7838,36,0,61.8976,37.9292,0.1732,1292474136,0.2397,0.2401,0.0463,0.6198
I00699,43,13171.5172,13546.2329,13097.5172,14191.392,14201.5195,14189.392,1091.8749,36,0,1257.1307,36,0,842.2336,36,0,76.0052,23.9491,0.0457,215120897,0.5206,0.5208,0.0066,0.7603
I00699,44,10615.2249,10937.7093,10541.2249,11343.7586,11352.4744,11341.7586,800.5337,36,0,727.6963,36,0,508.5831,36,0,71.7617,28.1489,0.0894,54254112,0.4361,0.4365,0.0233,0.7181
I00699,45,1205.6437,1511.4165,1131.6437,1412.1387,1420.4029,1410.1387,278.495,36,0,408.6735,36,0,137.1949,36,0,89.8332,10.1377,0.029,3057846,0.797,0.7972,0.0059,0.8985
I00699,46,7478.5875,7778.7467,7404.5875,9500.8611,9508.9735,9498.8611,2094.2736,36,0,2786.1873,36,0,1525.5091,36,0,85.3388,14.6372,0.024,27780192,0.707,0.7072,0.0647,0.8535
I00699,47,7055.6146,7312.2014,6987.6146,7605.2992,7612.8459,7603.2992,615.6846,33,0,490.9034,33,0,330.4408,33,0,70.7027,29.1898,0.1076,13939601,0.4151,0.4156,0.0591,0.7076
