INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,ENG,"ENGLAND",253159,170053,83106,67,33
I00733,RCF,"AIREDALE NHS FOUNDATION TRUST",940,595,345,63,37
I00733,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1435,1005,430,70,30
I00733,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2190,1400,790,64,36
I00733,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1380,895,485,65,35
I00733,R1H,"BARTS HEALTH NHS TRUST",2920,2215,710,76,24
I00733,RC9,"BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST",2590,1655,940,64,36
I00733,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2020,1280,740,63,37
I00733,RMC,"BOLTON NHS FOUNDATION TRUST",1550,1025,520,66,34
I00733,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1535,960,575,63,37
I00733,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1530,1120,410,73,27
I00733,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2120,1385,735,65,35
I00733,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2005,1240,765,62,38
I00733,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1285,910,375,71,29
I00733,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1600,980,615,61,38
I00733,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1210,825,385,68,32
I00733,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",2885,1785,1100,62,38
I00733,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1005,755,250,75,25
I00733,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1390,880,505,63,36
I00733,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",2305,1485,820,64,36
I00733,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1120,745,375,67,33
I00733,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",1840,1160,675,63,37
I00733,RJN,"EAST CHESHIRE NHS TRUST",750,515,230,69,31
I00733,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",3250,1910,1340,59,41
I00733,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",2375,1570,805,66,34
I00733,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",3910,2500,1410,64,36
I00733,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",2370,1495,875,63,37
I00733,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",1510,1105,405,73,27
I00733,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",3120,2140,980,69,31
I00733,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",1320,935,385,71,29
I00733,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",995,635,365,64,37
I00733,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",2690,1820,870,68,32
I00733,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",1605,1100,505,69,31
I00733,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",1375,960,420,70,31
I00733,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",2000,1335,665,67,33
I00733,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",930,625,305,67,33
I00733,RQX,"HOMERTON HEALTHCARE NHS FOUNDATION TRUST",505,365,140,72,28
I00733,RWA,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",3035,2090,945,69,31
I00733,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",1755,1245,510,71,29
I00733,R1F,"ISLE OF WIGHT NHS TRUST",785,510,280,65,36
I00733,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1430,965,460,67,32
I00733,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",1535,1015,520,66,34
I00733,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",2660,1950,710,73,27
I00733,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",980,655,320,67,33
I00733,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",2055,1370,685,67,33
I00733,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",3585,2465,1125,69,31
I00733,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",1995,1395,600,70,30
I00733,REM,"LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3355,2455,895,73,27
I00733,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",2155,1505,650,70,30
I00733,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",2190,1305,885,60,40
I00733,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",3630,2550,1080,70,30
I00733,RPA,"MEDWAY NHS FOUNDATION TRUST",1580,1005,575,64,36
I00733,RAJ,"MID AND SOUTH ESSEX NHS FOUNDATION TRUST",5495,3580,1915,65,35
I00733,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",1415,950,465,67,33
I00733,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",2485,1600,885,64,36
I00733,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1205,765,440,63,37
I00733,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3110,2125,985,68,32
I00733,RVJ,"NORTH BRISTOL NHS TRUST",2140,1590,545,74,25
I00733,RNN,"NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST",1885,1335,550,71,29
I00733,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",1070,790,285,74,27
I00733,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",1660,1060,595,64,36
I00733,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",2630,1800,830,68,32
I00733,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",1660,1060,600,64,36
I00733,RM3,"NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST",3920,2570,1345,66,34
I00733,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",2115,1240,875,59,41
I00733,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",2695,1975,725,73,27
I00733,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",3910,2900,1010,74,26
I00733,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3090,2260,830,73,27
I00733,RHU,"PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST",2835,1870,965,66,34
I00733,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",1910,1310,600,69,31
I00733,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",2025,1325,695,65,34
I00733,RH8,"ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST",3000,1960,1040,65,35
I00733,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",2175,1460,715,67,33
I00733,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",1080,670,415,62,38
I00733,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",1780,1145,635,64,36
I00733,RNZ,"SALISBURY NHS FOUNDATION TRUST",1055,780,275,74,26
I00733,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",1645,1120,530,68,32
I00733,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",3025,2135,890,71,29
