INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I00731,ENG,"ENGLAND",5685,954471,1
I00731,RCF,"AIREDALE NHS FOUNDATION TRUST",10,1995,1
I00731,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",15,5290,0
I00731,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",35,6810,1
I00731,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",10,3615,0
I00731,R1H,"BARTS HEALTH NHS TRUST",95,16910,1
I00731,RC9,"BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST",35,10330,0
I00731,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",30,5590,1
I00731,RMC,"BOLTON NHS FOUNDATION TRUST",40,4220,1
I00731,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",20,3480,1
I00731,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",30,4290,1
I00731,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",15,4260,0
I00731,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",50,12185,0
I00731,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",*,6370,*
I00731,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",15,2940,1
I00731,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",10,5925,0
I00731,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",15,4960,0
I00731,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",*,3310,*
I00731,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",25,6905,0
I00731,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",45,7290,1
I00731,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",25,2465,1
I00731,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",20,5950,0
I00731,RJN,"EAST CHESHIRE NHS TRUST",*,895,*
I00731,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",45,10155,0
I00731,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",65,10045,1
I00731,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",70,11150,1
I00731,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",30,4890,1
I00731,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",25,7720,0
I00731,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",35,12135,0
I00731,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",25,2995,1
I00731,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",10,1660,1
I00731,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",60,12230,0
I00731,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",95,5585,2
I00731,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",215,35230,1
I00731,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",25,6355,0
I00731,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",15,2335,1
I00731,RQX,"HOMERTON HEALTHCARE NHS FOUNDATION TRUST",20,2135,1
I00731,RWA,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",150,10770,1
I00731,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",80,17970,0
I00731,R1F,"ISLE OF WIGHT NHS TRUST",*,1960,*
I00731,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",40,2940,1
I00731,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",25,3625,1
I00731,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",55,15760,0
I00731,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",*,2345,*
I00731,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",90,11520,1
I00731,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",130,21280,1
I00731,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",15,4075,0
I00731,REM,"LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",90,12240,1
I00731,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",20,7195,0
I00731,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",30,6750,0
I00731,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",170,25405,1
I00731,RPA,"MEDWAY NHS FOUNDATION TRUST",10,4135,0
I00731,RAJ,"MID AND SOUTH ESSEX NHS FOUNDATION TRUST",120,17310,1
I00731,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",10,3205,0
