INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,MEAN,MAXIMUM
I01965,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,5.7476,19
I01965,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,3.6698,19
I01965,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,4.8132,12
I01965,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,5.9096,19
I01965,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,8.6506,19
I01965,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,**,**
I01965,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,6.1226,19
I01965,RNZ,SALISBURY NHS FOUNDATION TRUST,5.1326,19
I01965,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,5.4113,19
I01965,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,5.5651,19
I01965,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,5.3665,19
I01965,RH5,SOMERSET NHS FOUNDATION TRUST,5.0587,19
I01965,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,6.4072,13
I01965,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,4.7523,19
I01965,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,5.4107,19
I01965,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5.3994,19
I01965,RWJ,STOCKPORT NHS FOUNDATION TRUST,6.011,19
I01965,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,7.1503,19
I01965,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,7.0586,19
I01965,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,5.8544,19
I01965,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,3.8942,19
I01965,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,6.6354,19
I01965,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,4.8338,14
I01965,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",3.9809,13
I01965,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,7.706,19
I01965,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,8.5795,19
