INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,2650,1855,795,70,30
I00733,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,1705,1180,530,69,31
I00733,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,4235,2960,1275,70,30
I00733,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,2315,1450,860,63,37
I00733,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,2665,1985,685,74,26
I00733,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,3945,3155,790,80,20
I00733,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3250,2380,870,73,27
I00733,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,2890,2075,815,72,28
I00733,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,1815,1285,530,71,29
I00733,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,1970,1360,610,69,31
I00733,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,3030,2050,980,68,32
I00733,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,2195,1605,595,73,27
I00733,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1225,805,420,66,34
I00733,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,1800,1195,605,66,34
I00733,RNZ,SALISBURY NHS FOUNDATION TRUST,1065,830,235,78,22
I00733,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,1930,1335,595,69,31
I00733,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,3375,2530,845,75,25
I00733,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,2100,1510,590,72,28
I00733,RH5,SOMERSET NHS FOUNDATION TRUST,2890,2135,755,74,26
I00733,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,2555,1810,750,71,29
I00733,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,3125,2355,770,75,25
