INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,Q1_NUMERATOR,Q2_NUMERATOR,Q3_NUMERATOR,Q4_NUMERATOR,Q5_NUMERATOR,NULL_NUMERATOR,Q1_RATE,Q2_RATE,Q3_RATE,Q4_RATE,Q5_RATE,NULL_RATE
I00743,ENG,ENGLAND,259584,54836,51716,52102,51219,45956,3755,21,20,20,20,18,1
I00743,RCF,AIREDALE NHS FOUNDATION TRUST,910,150,105,210,240,200,*,16,12,23,26,22,*
I00743,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1645,*,195,310,450,670,10,*,12,19,27,41,1
I00743,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2525,390,520,730,435,310,140,15,21,29,17,12,6
I00743,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1485,605,385,240,165,60,30,41,26,16,11,4,2
I00743,R1H,BARTS HEALTH NHS TRUST,3145,740,1290,495,325,220,75,24,41,16,10,7,2
I00743,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,2825,305,570,555,540,670,190,11,20,20,19,24,7
I00743,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,2005,690,530,305,315,160,*,34,26,15,16,8,*
I00743,RMC,BOLTON NHS FOUNDATION TRUST,1480,695,225,170,235,150,*,47,15,11,16,10,*
I00743,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1655,835,410,200,150,50,*,50,25,12,9,3,*
I00743,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1555,10,160,210,445,730,*,1,10,14,29,47,*
I00743,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2155,570,465,430,445,235,10,26,22,20,21,11,0
I00743,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2125,75,195,485,600,755,10,4,9,23,28,36,0
I00743,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,1590,130,465,460,310,160,60,8,29,29,19,10,4
I00743,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1750,305,405,350,330,330,30,17,23,20,19,19,2
I00743,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1280,205,155,125,235,295,260,16,12,10,18,23,20
