INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,Q1_NUMERATOR,Q2_NUMERATOR,Q3_NUMERATOR,Q4_NUMERATOR,Q5_NUMERATOR,NULL_NUMERATOR,Q1_RATE,Q2_RATE,Q3_RATE,Q4_RATE,Q5_RATE,NULL_RATE
I00742,ENG,ENGLAND,8305121,1946798,1687827,1571181,1476499,1324991,297825,23.4,20.3,18.9,17.8,16,3.6
I00742,RCF,AIREDALE NHS FOUNDATION TRUST,31155,8180,4045,6470,6840,5480,140,26.3,13,20.8,22,17.6,0.4
I00742,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,57945,500,8330,12535,15040,19645,1905,0.9,14.4,21.6,26,33.9,3.3
I00742,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",82420,14780,20125,21270,11155,7585,7505,17.9,24.4,25.8,13.5,9.2,9.1
I00742,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,45495,18410,11050,7205,5085,2480,1265,40.5,24.3,15.8,11.2,5.5,2.8
I00742,R1H,BARTS HEALTH NHS TRUST,119460,29535,52355,18495,9600,6125,3350,24.7,43.8,15.5,8,5.1,2.8
I00742,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,106190,18095,24620,20985,19300,20045,3145,17,23.2,19.8,18.2,18.9,3
I00742,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,53545,20820,12065,7530,8350,4285,490,38.9,22.5,14.1,15.6,8,0.9
I00742,RMC,BOLTON NHS FOUNDATION TRUST,53990,26870,9355,5820,6645,4935,365,49.8,17.3,10.8,12.3,9.1,0.7
I00742,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,79525,46960,17875,6580,4570,1840,1695,59.1,22.5,8.3,5.7,2.3,2.1
I00742,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,61130,610,8140,9595,16500,26065,215,1,13.3,15.7,27,42.6,0.4
I00742,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,60360,19480,12915,11100,10455,4765,1645,32.3,21.4,18.4,17.3,7.9,2.7
I00742,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,60895,2430,6005,14140,17165,20485,675,4,9.9,23.2,28.2,33.6,1.1
I00742,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,92225,8420,23855,22855,14070,8675,14350,9.1,25.9,24.8,15.3,9.4,15.6
I00742,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,52995,10250,11360,8950,7715,8440,6280,19.3,21.4,16.9,14.6,15.9,11.9
I00742,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,40430,7690,4905,3930,6820,8180,8905,19,12.1,9.7,16.9,20.2,22
I00742,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,78225,25550,21075,11790,10650,8590,570,32.7,26.9,15.1,13.6,11,0.7
I00742,RJ6,CROYDON HEALTH SERVICES NHS TRUST,27430,5505,9040,5910,3845,2335,800,20.1,33,21.5,14,8.5,2.9
I00742,RN7,DARTFORD AND GRAVESHAM NHS TRUST,52130,7915,12330,13300,10160,7955,470,15.2,23.7,25.5,19.5,15.3,0.9
I00742,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,60010,23395,12735,10155,9350,3800,580,39,21.2,16.9,15.6,6.3,1
I00742,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,25005,2355,4910,8395,7160,2020,165,9.4,19.6,33.6,28.6,8.1,0.7
I00742,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,48725,1565,7740,12060,8520,13810,5025,3.2,15.9,24.8,17.5,28.3,10.3
I00742,RJN,EAST CHESHIRE NHS TRUST,12405,710,2305,1910,2790,4640,50,5.7,18.6,15.4,22.5,37.4,0.4
